n,m,c,k
1,2,2,1
2,3,8,1
3,4,16,2
4,5,32,3
5,6,64,4
6,7,128,5
7,8,256,6
8,9,512,7
9,10,1024,8
10,11,2048,9
11,12,4096,10
12,13,8192,11
13,14,16384,12
14,15,32768,13
15,16,65536,14
16,17,131072,15
17,18,262144,16
18,19,524288,17
19,20,1048576,18
20,21,2097152,19
21,22,4194304,20
22,23,8388608,21
23,24,16777216,22
24,25,33554432,23
25,26,67108864,24
26,27,134217728,25
27,28,268435456,26
28,29,536870912,27
29,30,1073741824,28
30,31,2147483648,29
31,32,4294967296,30
32,33,8589934592,31
33,34,17179869184,32
34,35,34359738368,33
35,36,68719476736,34
36,37,137438953472,35
37,38,274877906944,36
38,39,549755813888,37
39,40,1099511627776,38
40,41,2199023255552,39
41,42,4398046511104,40
42,43,8796093022208,41
43,44,17592186044416,42
44,45,35184372088832,43
45,46,70368744177664,44
46,47,140737488355328,45
47,48,281474976710656,46
48,49,562949953421312,47
49,50,1125899906842624,48
50,51,2251799813685248,49
51,52,4503599627370496,50
52,53,9007199254740992,51
53,54,18014398509481984,52
54,55,36028797018963968,53
55,56,72057594037927936,54
56,57,125426857658023936,36
57,58,250853715316047872,37
58,59,501707430632095744,38
59,60,1003414861264191488,39
60,61,2006829722528382976,40
61,62,4013659445056765952,41
62,63,8027318890113531904,42
63,64,10730547391838027776,42
64,65,21461094783676055552,43
65,66,42922189567352111104,44
66,67,85844379134704222208,45
67,68,171688758269408444416,46
68,69,280262424567306256384,38
69,70,452954599072368427008,47
70,71,905909198144736854016,48
71,72,1811818396289473708032,49
72,73,3623636792578947416064,50
73,74,5845500128407947575296,42
74,75,11691000256815895150592,43
75,76,23382000513631790301184,44
76,77,37778931862957161709568,53
77,78,75557863725914323419136,54
78,79,120894881794981378392064,46
79,80,241789763589962756784128,47
80,81,483579527179925513568256,48
81,82,967159054359851027136512,49
82,83,1934318108719702054273024,50
83,84,3868636217439404108546048,51
84,85,4961110955035039012749312,51
85,86,9922221910070078025498624,52
86,87,19844443820140156050997248,53
87,88,39688887640280312101994496,54
88,89,66891817513770677107163136,46
89,90,101036922268724366879490048,55
90,91,202073844537448733758980096,56
91,92,404147689074897467517960192,57
92,93,808295378149794935035920384,58
93,94,1360595651517865413662736384,50
94,95,2721191303035730827325472768,51
95,96,4086570966596395709702864896,60
96,97,8173141933192791419405729792,61
97,98,16346283866385582838811459584,62
98,99,27520257356431414738418663424,54
99,100,55040514712862829476837326848,55
100,101,110081029425725658953674653696,56
101,102,164194134892660055906617131008,65
102,103,328388269785320111813234262016,66
103,104,553673420289171952938621337600,58
104,105,1107346840578343905877242675200,59
105,106,2214693681156687811754485350400,60
106,107,4429387362313375623508970700800,61
107,108,7749604146078170580603216330752,53
108,109,11082449387146608375247881109504,62
109,110,22164898774293216750495762219008,63
110,111,44329797548586433500991524438016,64
111,112,77698702340881437213978215317504,56
112,113,155397404681762874427956430635008,57
113,114,220747183861153769613322098835456,66
114,115,441494367722307539226644197670912,67
115,116,882988735444615078453288395341824,68
116,117,1551577411024641940342591618809856,60
117,118,3103154822049283880685183237619712,61
118,119,4376452639139273776029904326885376,70
119,120,8752905278278547552059808653770752,71
120,121,15429916225019282894767711575867392,63
121,122,30859832450038565789535423151734784,64
122,123,61719664900077131579070846303469568,65
123,124,123439329800154263158141692606939136,66
124,125,172755398681402464430272178605260800,75
125,126,305707204712104963947857661743071232,67
126,127,611414409424209927895715323486142464,68
127,128,1222828818848419855791430646972284928,69
128,129,2445657637696839711582861293944569856,70
129,130,3395024350704266237321101104222568448,79
130,131,6034317110216237093816648089456345088,71
131,132,12068634220432474187633296178912690176,72
132,133,24137268440864948375266592357825380352,73
133,134,43848293018031720338674589213583736832,65
134,135,87696586036063440677349178427167473664,66
135,136,118682397434316889790370582259671498752,75
136,137,237364794868633779580741164519342997504,76
137,138,432792381592588434006709237910094217216,68
138,139,865584763185176868013418475820188434432,69
139,140,1731169526370353736026836951640376868864,70
140,141,2326123738318901987918339313042527879168,79
141,142,4652247476637803975836678626085055758336,80
142,143,8517083663017378634058505396145461657600,72
143,144,17034167326034757268117010792290923315200,73
144,145,34068334652069514536234021584581846630400,74
145,146,45437835169362528125957962482221632716800,83
146,147,83553688554563580476835294276494347468800,75
147,148,167107377109127160953670588552988694937600,76
148,149,334214754218254321907341177105977389875200,77
149,150,668429508436508643814682354211954779750400,78
150,151,884684317172376589840769519566929042341888,87
151,152,1634560808020039460746870764192161123532800,79
152,153,3269121616040078921493741528384322247065600,80
153,154,6538243232080157842987483056768644494131200,81
154,155,12235875553454294595044571091114124443123712,73
155,156,17170786533428529990382226438440977535336448,91
156,157,31886220851338674787687048555731835324203008,83
157,158,63772441702677349575374097111463670648406016,84
158,159,119822131939064345980892124357239403377065984,76
159,160,239644263878128691961784248714478806754131968,77
160,161,310152879397805751099929128643078513911398400,86
161,162,620305758795611502199858257286157027822796800,87
162,163,1240611517591223004399716514572314055645593600,88
163,164,2340859147781787279338180272842616823848370176,80
164,165,4681718295563574558676360545685233647696740352,81
165,166,6017446691688877401271404131868580427170054144,90
166,167,12034893383377754802542808263737160854340108288,91
167,168,22809545536274799788910464218481552428019744768,83
168,169,45619091072549599577820928436963104856039489536,84
169,170,91238182145099199155641856873926209712078979072,85
170,171,116443138411594448725210576437465339568498671616,94
171,172,221726175422573559694240102264067906100344651776,86
172,173,443452350845147119388480204528135812200689303552,87
173,174,886904701690294238776960409056271624401378607104,88
174,175,1700758433853411309843164462347168589200129785856,80
175,176,2247558762803366588516484975760708045343895322624,98
176,177,4300621568953837645577134896632351765454288584704,90
177,178,8601243137907675291154269793264703530908577169408,91
178,179,17202486275815350582308539586529407061817154338816,92
179,180,33119429097551127418920721168251646433097154560000,84
180,181,41612470020019198284094682412185038074449764548608,93
181,182,83224940040038396568189364824370076148899529097216,94
