n,m,c,k
182,183,166449880080076793136378729648740152297799058194432,95
183,184,321790593959082424453173565228678493357086657740800,87
184,185,643581187918164848906347130457356986714173315481600,88
185,186,803483531139740143503137859454323416350821913198592,97
186,187,1606967062279480287006275718908646832701643826397184,98
187,188,3120065564407409539252378973177690926815903744000000,90
188,189,6240131128814819078504757946355381853631807488000000,91
189,190,12480262257629638157009515892710763707263614976000000,92
190,191,15480468649062497768846885197733335472234467784916992,101
191,192,30190682452229294336015562862703110219114922953932800,93
192,193,60381364904458588672031125725406220438229845907865600,94
193,194,120762729808917177344062251450812440876459691815731200,95
194,195,148811510269521884157490327492547376180947286539370496,104
195,196,297623020539043768314980654985094752361894573078740992,105
196,197,583108460344227241559485073266476626692929055673548800,97
197,198,1166216920688454483118970146532953253385858111347097600,98
198,199,2290671315322733661303832858867916390807563178264756224,90
199,200,2855059404103623964518444665871495936299230517876752384,108
200,201,5620187056888590462261834847140895230504623215860514816,100
