n,m,c
151,152,19981467697883438334816003572292931909358452736
152,153,39962935395766876669632007144585863818716905472
153,154,79925870791533753339264014289171727637433810944
154,155,159851741583067506678528028578343455274867621888
155,156,319703483166135013357056057156686910549735243776
156,157,639406966332270026714112114313373821099470487552
157,158,1278813932664540053428224228626747642198940975104
158,159,2557627865329080106856448457253495284397881950208
159,160,5115255730658160213712896914506990568795763900416
160,161,10230511461316320427425793829013981137591527800832
161,162,20461022922632640854851587658027962275183055601664
162,163,40922045845265281709703175316055924550366111203328
163,164,81844091690530563419406350632111849100732222406656
164,165,163688183381061126838812701264223698201464444813312
165,166,327376366762122253677625402528447396402928889626624
166,167,654752733524244507355250805056894792805857779253248
167,168,1309505467048489014710501610113789585611715558506496
168,169,2619010934096978029421003220227579171223431117012992
169,170,5238021868193956058842006440455158342446862234025984
170,171,10476043736387912117684012880910316684893724468051968
171,172,20952087472775824235368025761820633369787448936103936
172,173,41904174945551648470736051523641266739574897872207872
173,174,83808349891103296941472103047282533479149795744415744
174,175,167616699782206593882944206094565066958299591488831488
175,176,335233399564413187765888412189130133916599182977662976
176,177,670466799128826375531776824378260267833198365955325952
177,178,1340933598257652751063553648756520535666396731910651904
178,179,2681867196515305502127107297513041071332793463821303808
179,180,5363734393030611004254214595026082142665586927642607616
180,181,10727468786061222008508429190052164285331173855285215232
181,182,21454937572122444017016858380104328570662347710570430464
182,183,42909875144244888034033716760208657141324695421140860928
183,184,85819750288489776068067433520417314282649390842281721856
184,185,171639500576979552136134867040834628565298781684563443712
185,186,343279001153959104272269734081669257130597563369126887424
186,187,686558002307918208544539468163338514261195126738253774848
187,188,1373116004615836417089078936326677028522390253476507549696
188,189,2746232009231672834178157872653354057044780506953015099392
189,190,5492464018463345668356315745306708114089561013906030198784
190,191,10984928036926691336712631490613416228179122027812060397568
191,192,21969856073853382673425262981226832456358244055624120795136
192,193,43939712147706765346850525962453664912716488111248241590272
193,194,87879424295413530693701051924907329825432976222496483180544
194,195,175758848590827061387402103849814659650865952444992966361088
195,196,351517697181654122774804207699629319301731904889985932722176
196,197,703035394363308245549608415399258638603463809779971865444352
197,198,1406070788726616491099216830798517277206927619559943730888704
198,199,2812141577453232982198433661597034554413855239119887461777408
199,200,5624283154906465964396867323194069108827710478239774923554816
200,201,11248566309812931928793734646388138217655420956479549847109632
