n,m,c
1,2,0
2,3,4
3,4,8
4,5,32
5,6,64
6,7,128
7,8,256
8,9,768
9,10,1536
10,11,3072
11,12,6144
12,13,12288
13,14,24576
14,15,49152
15,16,98304
16,17,262144
17,18,524288
18,19,1048576
19,20,2097152
20,21,4194304
21,22,8388608
22,23,16777216
23,24,33554432
24,25,67108864
25,26,134217728
26,27,268435456
27,28,536870912
28,29,1073741824
29,30,2147483648
30,31,4294967296
31,32,8589934592
32,33,21474836480
33,34,42949672960
34,35,85899345920
35,36,171798691840
36,37,343597383680
37,38,687194767360
38,39,1374389534720
39,40,2748779069440
40,41,5497558138880
41,42,10995116277760
42,43,21990232555520
43,44,43980465111040
44,45,87960930222080
45,46,175921860444160
46,47,351843720888320
47,48,703687441776640
48,49,1407374883553280
49,50,2814749767106560
50,51,5629499534213120
51,52,11258999068426240
52,53,22517998136852480
53,54,45035996273704960
54,55,90071992547409920
55,56,180143985094819840
56,57,360287970189639680
57,58,720575940379279360
58,59,1441151880758558720
59,60,2882303761517117440
60,61,5764607523034234880
61,62,11529215046068469760
62,63,23058430092136939520
63,64,46116860184273879040
64,65,110680464442257309696
65,66,221360928884514619392
66,67,442721857769029238784
67,68,885443715538058477568
68,69,1770887431076116955136
69,70,3541774862152233910272
70,71,7083549724304467820544
71,72,14167099448608935641088
72,73,28334198897217871282176
73,74,56668397794435742564352
74,75,113336795588871485128704
75,76,226673591177742970257408
76,77,453347182355485940514816
77,78,906694364710971881029632
78,79,1813388729421943762059264
79,80,3626777458843887524118528
80,81,7253554917687775048237056
81,82,14507109835375550096474112
82,83,29014219670751100192948224
83,84,58028439341502200385896448
84,85,116056878683004400771792896
85,86,232113757366008801543585792
86,87,464227514732017603087171584
87,88,928455029464035206174343168
88,89,1856910058928070412348686336
89,90,3713820117856140824697372672
90,91,7427640235712281649394745344
91,92,14855280471424563298789490688
92,93,29710560942849126597578981376
93,94,59421121885698253195157962752
94,95,118842243771396506390315925504
95,96,237684487542793012780631851008
96,97,475368975085586025561263702016
97,98,950737950171172051122527404032
98,99,1901475900342344102245054808064
99,100,3802951800684688204490109616128
100,101,7605903601369376408980219232256
101,102,15211807202738752817960438464512
102,103,30423614405477505635920876929024
103,104,60847228810955011271841753858048
104,105,121694457621910022543683507716096
105,106,243388915243820045087367015432192
106,107,486777830487640090174734030864384
107,108,973555660975280180349468061728768
108,109,1947111321950560360698936123457536
109,110,3894222643901120721397872246915072
110,111,7788445287802241442795744493830144
111,112,15576890575604482885591488987660288
112,113,31153781151208965771182977975320576
113,114,62307562302417931542365955950641152
114,115,124615124604835863084731911901282304
115,116,249230249209671726169463823802564608
116,117,498460498419343452338927647605129216
117,118,996920996838686904677855295210258432
118,119,1993841993677373809355710590420516864
119,120,3987683987354747618711421180841033728
120,121,7975367974709495237422842361682067456
121,122,15950735949418990474845684723364134912
122,123,31901471898837980949691369446728269824
123,124,63802943797675961899382738893456539648
124,125,127605887595351923798765477786913079296
125,126,255211775190703847597530955573826158592
126,127,510423550381407695195061911147652317184
127,128,1020847100762815390390123822295304634368
128,129,2381976568446569244243622252022377480192
129,130,4763953136893138488487244504044754960384
130,131,9527906273786276976974489008089509920768
131,132,19055812547572553953948978016179019841536
132,133,38111625095145107907897956032358039683072
133,134,76223250190290215815795912064716079366144
134,135,152446500380580431631591824129432158732288
135,136,304893000761160863263183648258864317464576
136,137,609786001522321726526367296517728634929152
137,138,1219572003044643453052734593035457269858304
138,139,2439144006089286906105469186070914539716608
139,140,4878288012178573812210938372141829079433216
140,141,9756576024357147624421876744283658158866432
141,142,19513152048714295248843753488567316317732864
142,143,39026304097428590497687506977134632635465728
143,144,78052608194857180995375013954269265270931456
144,145,156105216389714361990750027908538530541862912
145,146,312210432779428723981500055817077061083725824
146,147,624420865558857447963000111634154122167451648
147,148,1248841731117714895926000223268308244334903296
148,149,2497683462235429791852000446536616488669806592
149,150,4995366924470859583704000893073232977339613184
150,151,9990733848941719167408001786146465954679226368
