n,m,c,D,d,k,index_in_list
1,2,4,2,1,1,0
2,3,8,2,1,1,0
3,4,16,2,1,1,0
4,5,32,2,1,1,0
5,6,64,2,1,1,0
6,7,128,2,1,1,0
7,8,236,2,1,1,0
8,9,436,2,1,1,0
9,10,676,2,1,1,0
10,11,1252,2,1,1,0
11,12,3236,2,1,4,1
12,13,6436,2,1,4,1
13,14,12836,2,1,4,1
14,15,25636,2,1,4,2
15,16,51236,2,1,4,2
16,17,73828,2,1,5,1
17,18,136292,3,1,7,1
18,19,213441,3,1,7,1
19,20,357008,3,1,7,2
20,21,508176,3,1,8,2
21,22,864256,3,1,8,4
22,23,1553680,3,1,8,5
23,24,2908224,3,1,8,5
24,25,5591440,3,1,8,5
25,26,10930432,3,1,8,6
26,27,21579408,3,1,8,6
27,28,26804224,3,1,9,5
28,29,53075216,3,1,9,5
29,30,105563200,3,1,9,5
30,31,210482576,3,1,9,6
31,32,420262144,3,1,9,8
32,33,581548288,4,1,11,9
33,34,931408801,4,1,11,11
34,35,1589185177,4,1,11,17
35,36,2857339204,4,1,11,21
36,37,5340340708,4,1,11,21
37,38,10246657441,4,1,11,23
38,39,19992734857,4,1,11,23
39,40,39410955664,4,1,11,24
40,41,78165558928,4,1,11,24
41,42,155584478281,4,1,11,26
42,43,310323018337,4,1,11,26
43,44,364551810081,4,1,12,22
44,45,727670116585,4,1,12,34
45,46,1207013835140,5,1,13,43
46,47,2113612947321,5,1,13,52
47,48,3871365720128,5,1,13,54
48,49,7323136782969,5,1,13,57
49,50,14153690942756,5,1,13,58
50,51,16446470111296,5,1,14,53
51,52,32063171336100,5,1,14,56
52,53,63161594653329,5,1,14,56
53,54,125205612194916,5,1,14,56
54,55,249121124849284,5,1,14,58
55,56,490843020151056,6,1,16,69
56,57,714756356068880,6,1,16,76
57,58,1108478610311424,6,1,16,81
58,59,1832433116553280,6,1,16,97
59,60,3206100906106512,6,1,16,109
60,61,5866916294095888,6,1,16,107
61,62,11088042973503744,6,1,16,111
62,63,21413910094338112,6,1,16,114
63,64,41931267236399376,6,1,16,117
64,65,82811276045555984,6,1,16,121
65,66,164393674025302272,6,1,16,121
66,67,327355081418088512,6,1,16,128
67,68,548610743492027876,7,1,18,149
68,69,820351327731214864,7,1,18,157
69,70,1307357029775458304,7,1,18,173
70,71,2214704196165597712,7,1,18,198
71,72,3950939365690127936,7,1,18,201
72,73,7331331625087135825,7,1,18,201
73,74,13984352414330949632,7,1,18,205
74,75,27164607896649025057,7,1,18,205
75,76,41550272959563677521,7,2,27,205
76,77,82154859719289070592,7,2,27,210
77,78,163213933995135898384,7,2,27,210
78,79,325161455201969389568,7,2,27,223
79,80,530675937693057932929,8,2,29,251
80,81,803856341022700146833,8,2,29,263
81,82,1300886455615702336516,8,2,29,325
82,83,2237226492537407305232,8,2,29,325
83,84,4042545923793934680064,8,2,29,323
84,85,7574771752393249468004,8,2,29,333
85,86,14548167534657924773497,8,2,29,333
86,87,28389472340079287199953,8,2,29,342
87,88,55950157908673722092425,8,2,29,347
88,89,110930920409366037811169,8,2,29,350
89,90,220730639484076463740480,8,2,29,352
90,91,380809811345455038865033,8,3,38,390
91,92,503072099136286273564676,8,2,30,387
92,93,944264300586605789715684,9,2,31,501
93,94,1584014011285101297488960,9,2,31,507
94,95,2523677575344563132473273,9,3,40,513
95,96,4664830867572557564384832,9,3,40,509
96,97,8880693393657189020788297,9,3,40,510
97,98,11269687902445705981535808,9,2,32,506
98,99,21760084265238693875765648,9,2,32,507
99,100,42601275019401304016335104,9,2,32,514
100,101,84121372037452470052734992,9,2,32,514
101,102,166973283985960864787090496,9,2,32,526
102,103,307799798861012762560477617,9,3,41,546
103,104,545722251418366443684159888,10,2,34,599
104,105,820532106765143403831549584,10,2,34,670
105,106,1316642402307196651491942464,10,2,34,723
106,107,2124609471869836124817667136,10,3,43,718
107,108,3840893965039417019608906265,10,3,43,729
108,109,7199857909908592740827106129,10,3,43,751
109,110,13832124466456935159542502416,10,3,43,751
110,111,26997160638974593543551952196,10,3,43,758
111,112,53211886914169408140452651105,10,3,43,768
112,113,105507869385623089423419519297,10,3,43,773
113,114,209945674122217089717458932132,10,3,43,787
114,115,383531292966694977621104085648,11,3,45,837
115,116,480638350088758498517042812036,10,3,44,836
116,117,895912588202218947852334911972,11,3,45,1024
117,118,1507830447225595181859920191760,11,3,45,1028
118,119,2678157916120190797521931258692,11,3,45,1044
119,120,4833562009703936797203987405092,11,4,54,1050
120,121,9247901582193526634167385018884,11,4,54,1069
121,122,18004293507442644687323873863568,11,4,54,1069
122,123,35433445582892871168444978094336,11,4,54,1088
123,124,70151963237534966205115930218048,11,2,36,1096
124,125,139229199205979894829056071268753,11,2,36,1093
125,126,264455781865784962893742724088164,12,3,48,1152
126,127,321594226707151064234461163118848,11,3,46,1143
127,128,509786158341592840614406871029668,12,3,48,1185
128,129,773976045586944608732166087869348,12,3,48,1401
129,130,1457853302346904199348001863361380,11,3,47,1401
130,131,2913019411395966210230142105572112,11,3,47,1411
131,132,5822911412605086789234910592178752,11,3,47,1421
132,133,7315176258322050656161232112097168,12,3,48,1412
133,134,14045121955788081104013685352589828,12,3,48,1415
134,135,25322811638526717006765121038613604,12,2,39,1406
135,136,49699358823569498571412021650955105,12,2,39,1421
136,137,98275832826338220177740217379835748,12,2,39,1435
137,138,195221236182275726069681778500800528,12,2,39,1461
138,139,334422184485109494397805697447232912,13,3,51,1531
139,140,460832648780876802874290040153575424,13,3,51,1558
140,141,672439757014269241400716110738383248,13,3,51,1825
141,142,1415412245231286171990004352246878208,13,2,41,1841
142,143,2449424729925559936368718617058936089,13,2,41,1847
143,144,4442274263290993409017614596595001600,13,2,41,1849
144,145,8338807781158614031312471476658518441,13,2,41,1851
145,146,11375807310175688805247010609165639716,13,4,60,1842
146,147,20469988768281003636767060525933821072,13,3,51,1839
147,148,40095452297402699125725743856044729344,13,3,51,1858
148,149,67968777515270979791350428002533974928,13,2,42,1849
149,150,134575325120775233078367405608845362752,13,2,42,1875
150,151,267535372200013165762974194372218748785,13,2,42,1937
151,152,389956306457033481877539035043141237985,13,4,61,1972
152,153,701693282172135063646364478119382051716,13,3,52,2355
153,154,1209011464535643554716753032850681749264,14,3,53,2361
154,155,2073655037156023081933963296767331121728,14,3,53,2353
155,156,3229909665611683010878986172650233511369,14,2,44,2352
156,157,5910670102472400575802828009501955400225,14,2,44,2367
157,158,11165064676074447703548139756874757111396,14,2,44,2377
158,159,21546885605859180797241256700214105844880,14,2,44,2398
159,160,42160235865529684772990779206929439157233,14,2,44,2418
160,161,71531169334920392860979985267875716314265,14,5,72,2409
161,162,130265293295571888912259241394281502727012,14,4,63,2405
162,163,226341731379996687306405895300006018509376,14,3,54,2452
163,164,438252381403040417886075274493424157348928,15,3,56,2740
164,165,587208612000367232659562328374258111494400,14,4,64,2944
165,166,984695348679804309242168750414347680386624,15,3,56,2973
166,167,1624872919916357621357607804324896571229840,15,3,56,2969
167,168,3195799665616009833818726740948427629543424,15,4,65,2976
168,169,5184514211071689365682106106402262569296969,15,3,56,2978
169,170,9783180822091163108868241147106579753528804,15,3,56,2997
170,171,18868904264228157211292675526415970666116240,15,3,56,3019
171,172,36908529481567479414544750760022245550221888,15,3,56,3034
172,173,55663699213972219598930588202083031455615232,15,5,75,3026
173,174,97427175242496466000906818144188870159950848,15,4,66,3018
174,175,193578528639010794027898350762368551400599808,15,4,66,3033
175,176,320024073167106683340097830926145426804597760,15,3,57,3136
176,177,568939039656198006436500210106997598250788880,16,4,68,3697
177,178,1116182415996893778563408186807152354068001936,16,3,58,3712
178,179,1900794168795747730088441244299649148135134820,16,3,58,3732
179,180,3405084471460143297049011468591436221787695748,16,3,58,3726
180,181,5142623581044633967669534821648747638299322913,16,5,77,3723
181,182,9802171977156643989317378122882162684160270201,16,5,77,3736
182,183,16521497211446653296056289952470222295151559440,16,4,68,3738
183,184,26199162299736273028049670566210140194791469476,16,3,59,3729
184,185,42688782635649870726267908325752072401640773081,16,5,78,3723
185,186,71777466056010826709701086992359617010140626052,16,4,69,3724
186,187,142270097866929496968594820681381256903120917056,16,4,69,3743
187,188,283021837078791924757209630882076312736539151424,16,4,69,3815
188,189,498585910201799689469781550294634543535418438404,17,4,71,4504
189,190,783557739989573965537328790817945638398826571108,17,5,80,4503
190,191,1279266423651162085364900220952654420919074977241,17,5,80,4512
191,192,2215875533105496684439240713841264229496145580032,17,5,80,4509
192,193,3476159773945497618866757835238176269697801037072,17,4,71,4505
