n,m,c,D,d,k,index_in_list
1,2,2,2,1,1,0
2,3,4,2,1,1,0
3,4,10,2,1,1,0
4,5,28,2,1,1,0
5,6,82,2,1,1,0
6,7,244,2,1,1,0
7,8,730,2,1,1,0
8,9,2188,2,1,1,0
9,10,6562,2,1,1,0
10,11,19684,2,1,1,0
11,12,65133,13,10,1,3
12,13,384172,14,10,1,7
13,14,531442,15,14,1,0
14,15,1594324,16,15,1,0
15,16,4782970,17,16,1,2
16,17,14349196,18,16,1,3
17,18,43075962,19,16,1,5
18,19,130909063,20,16,1,7
19,20,387420490,21,20,1,5
20,21,1162261468,22,21,1,8
21,22,3486784402,23,22,1,10
22,23,10460353732,24,22,1,11
23,24,31381149609,25,22,1,13
24,25,94151734452,26,22,1,21
25,26,282429536482,27,26,1,20
26,27,847288609444,28,27,1,20
27,28,2541865828330,29,28,1,20
28,29,7625597485828,30,28,1,24
29,30,22876792671186,31,28,1,36
30,31,68630407132819,32,28,1,45
31,32,205891132094650,33,32,1,43
32,33,617673396283948,34,33,1,43
33,34,1853020188851842,35,34,1,46
34,35,5559060566556748,36,34,1,61
35,36,16677181700110125,37,34,1,74
36,37,50031545182521028,38,34,1,81
37,38,150094635296999122,39,38,1,79
38,39,450283905890997364,40,39,1,87
39,40,1350851717672992090,41,40,1,102
40,41,4052555153018977948,42,40,1,115
41,42,12157665459057744210,43,40,1,119
42,43,36472996377372142503,44,40,1,132
43,44,109418989131512359210,45,44,1,142
44,45,328256967394537077628,46,45,1,160
45,46,984770902183611232882,47,46,1,180
46,47,2954312706550833700852,48,46,1,181
47,48,8165200037237932072432,11,1,4,181
48,49,19915984666540955442321,11,1,4,197
49,50,53167752085064670468288,11,1,4,213
50,51,150116550256972702529460,11,1,4,242
51,52,437051995862812715457216,11,1,4,252
52,53,1292443071289267177308240,11,1,4,252
53,54,3851164111611763830981744,11,1,4,261
54,55,11517132518786553417244084,11,1,4,296
55,56,34501170564483633768620736,11,1,4,335
56,57,103434525601514210720973897,11,1,4,348
57,58,310209348260611233163595584,11,1,4,354
58,59,930500023237543495192083088,11,1,4,371
59,60,2791327031472854735873294512,11,1,4,404
60,61,8373748374060866158948882960,11,1,4,454
61,62,25120933641570959859760493104,11,1,4,463
62,63,75362385971014449225989660560,11,1,4,469
63,64,226086607606582254749619050416,11,1,4,507
64,65,678259096199881957192480759441,11,1,4,538
65,66,2034776333241777650692965221824,11,1,4,586
66,67,6104327748784206336047754699028,11,1,4,602
67,68,18312981614905818482424115759936,11,1,4,611
68,69,41560715971281646523030811243075,15,1,5,617
69,70,104336111110865246230975575924925,15,1,5,638
70,71,283817515921646382131524039560100,15,1,5,680
71,72,809779748891400292893954478374625,15,1,5,720
72,73,2370134258090680725365767573429575,15,1,5,731
73,74,7026684560444439431124782112880425,15,1,5,743
74,75,20962213845345793840126887615926475,15,1,5,797
75,76,62721511089203116676496775762441521,15,1,5,865
76,77,187934137072499640763600002908223651,15,1,5,897
77,78,563482311797962499311081676401492041,15,1,5,924
78,79,1690004038764159887162817660633407151,15,1,5,943
79,80,5069400501573822111747984682620108561,15,2,9,1008
80,81,15207357922640234635162052613541788396,15,2,9,1111
81,82,45620026447899285226246780009130736250,14,2,9,1125
82,83,136860049960635241329998864878816274475,14,2,9,1133
83,84,410580111342947998442125784093479364625,14,2,9,1186
84,85,873827237986787245290634274594094801850,18,2,10,1187
85,86,2208723476246364838079681613540272715556,18,2,10,1221
86,87,6039869788828135423384796622802441187281,18,2,10,1310
87,88,17290168077756598984332598508835140494675,18,2,10,1302
88,89,50701727033112783425376180646184431524850,18,2,10,1337
89,90,150464601204286306496708149505188153525900,18,2,10,1379
90,91,449099662712746282992452806794497168225361,18,2,10,1461
91,92,1344102772498850396625471662089853960063091,18,2,10,1578
92,93,4027871409889130363563690155354405589437225,18,2,10,1596
93,94,11863201645044121319003942179623465328481932,19,1,6,1595
94,95,35230013559144885782858492218147222836728296,19,1,6,1680
95,96,121431464812322601794071483458720671127522288,20,1,6,1688
96,97,314831321521673183793468321123065271285868389,19,1,6,1899
97,98,943490962456317852076853981640468544626188892,19,1,6,1900
98,99,2829070552818275318305608854673306517547869476,19,1,6,1911
99,100,8485257426968537122718431591895284742359048428,19,1,6,2022
100,101,25453057700265718398958505970877242749756446125,19,1,6,2126
101,102,44542520535822402925694704669305306356408602788,21,2,11,2162
102,103,123271856370398615310460246498691221665404377596,21,2,11,2176
103,104,355145231688850806622845778201595311085769662292,21,2,11,2181
104,105,1044722095139123874584985024526488185962083475413,21,2,11,2211
105,106,3105015288347545892002618694813530911373536379464,21,2,11,2327
106,107,9274151815610874804513318319645916928252319428717,21,2,11,2545
107,108,27765267897942637260288887178929085565699036190376,21,2,11,2561
108,109,83216077214528992262196974464004603523081969099853,21,2,11,2572
109,110,249537419381399434176794323132547348038115950750984,21,2,11,2609
110,111,748458697148269636525335014967333159808101584077477,21,2,11,2742
111,112,2245163911183000186589893552324937142470079472249960,21,2,11,2962
112,113,6601619186534740854288666152567392939919065272146532,23,1,7,2977
113,114,19070216499618739136219721662944569087545659657397721,23,1,7,2998
114,115,56164603024337676704130014277654804646936385705633163,23,1,7,3019
115,116,167008752337730326168940363966877566600306219307619489,23,1,7,3182
116,117,498924063069115064961052694210639437626084645189578467,23,1,7,3443
117,118,1493804892075470837313246359011953264518700078114175401,23,1,7,3453
118,119,4477238025577767025780109315056225550151070502971646203,23,1,7,3468
119,120,13425851426834423412958891431992610463569119299448698609,23,1,7,3509
120,121,32612900111202627883303986799834379080015250256578805124,25,2,12,3598
121,122,78854819106825748497156138137585962057099167692729695372,25,2,12,3697
122,123,209476210411522918910267262000965332381745398996548766116,25,2,12,3854
123,124,556330220117781410861453731396065285950784637678351578348,24,2,12,3880
124,125,1667582158638529690039527785982707282424944828397970615044,24,2,12,3898
125,126,5000782023352349496180217667749839598707940847086763450508,24,2,12,4007
126,127,14999613353504026661308504166564473452096550619698139055396,24,2,12,4177
127,128,44995048360062638540510414196116035600548630751910845246188,24,2,12,4433
128,129,134979897284035439005459638094026436032249209864954076489189,24,2,12,4459
129,130,404932446823242962430489760183952366041626744353784259156317,24,2,12,4487
130,131,1214787362553507977695767682838740598384924127417173012491101,24,2,12,4591
131,132,3644348379091219452833009171522382167481259353056820025556853,24,2,12,4802
132,133,10618652130815079320316990837463658363899937392327199747637825,27,1,8,5027
133,134,29803793883623603660307865857167132956665281214155189105903808,27,1,8,5028
134,135,86480509135485811253719835214777432319078281821851352253947712,27,1,8,5046
135,136,255266251623350671869185386524557103828986186687316801446620864,27,1,8,5169
136,137,610436374784224165118344413432838087104755799946003008322984723,28,2,13,5249
137,138,1502389345182494974004144861270530144006993227100371892993665561,28,2,13,5535
138,139,4037891552490346476672641754235534219528380791657813204259411883,28,2,13,5552
139,140,11445817140505688394394661212071391911141144578853078543531034849,28,2,13,5576
140,141,33389316546618704129445409053087873396555342577760365811796928947,28,2,13,5637
141,142,98825177141716615789989548335027895521661076214102721559992074666,28,2,13,5782
142,143,294578409672679156300017301435800547976542616642817840135012047023,28,2,13,6231
143,144,881061221882670042001081254431199755862857727488034620932243787394,28,2,13,6283
144,145,2639423401372973684553094062980142650651234018700015817327532257132,28,2,13,6309
145,146,7912994551361320852214894320383605607505667163251355261598169219821,28,2,13,6356
146,147,23731598673268406891608821601014147988606499640255606971201864398188,28,2,13,6416
147,148,71184481454756363610521821119519808676780361844976505149470905112789,28,2,13,6468
148,149,213539069834956390762545171404353757966752867221967816491513367050067,28,2,13,6507
149,150,640597220551728202217472635598761465461160554567933472244809584987401,28,2,13,6521
