n,m,c,D,d,k,index_in_list
150,151,1921763925103687990200249984764970557032870273799767268360432865318699,28,2,13,6580
151,152,5765253369854581934041893446052918636669504958078363129126721672310225,28,2,13,6648
152,153,17295707042717614297991568525184591297174652048971989557816095001538627,28,2,13,6691
153,154,51886987472346308472757700675700379296421004117836949776411578718062681,27,2,13,6735
154,155,155660960225490885675536574692367378242202517555925246377282904675460843,27,2,13,6771
155,156,466982877701785757335241631127137449546426560408571374026064404444195105,27,2,13,6807
156,157,1400948629075444563528280838045154270321163583263190379945281383651699011,27,2,13,6888
157,158,4202845881777236491891154389439735168742775732777480922594869984217781117,27,2,13,6934
158,159,12608537637977462002863135042626872321342167382007624793994544961213041583,27,2,13,6949
159,160,37825612904025281641397773153362452325209318496520864175399970957240374949,27,2,13,6975
160,161,111407461887897885562053998946906581845348404192548836538284932210338443941,29,4,22,6995
161,162,334222352865679223055931871221076946974599979863175596575785219221653675600,29,4,22,7060
162,163,1002667014031361358585755959385517240667245984231194223542400022985441467525,29,4,22,7102
163,164,3008000981654855992424635239359279779866788994296471334554868157328567313900,29,4,22,7161
164,165,9024002863153320494512346274927147405406785304776188934218765757116946524100,29,4,22,7172
165,166,27072008390624854207260270836473108965109457991569561049767352425155907082316,28,4,22,7235
166,167,81216025168999534719790694241107843979559829522705903111690629067463213054196,28,4,22,7297
167,168,243648075503172297500220926820467960089654501808579578488542388322061340311100,28,4,22,7335
168,169,730944226504433433282400753853976700916843037996058851083708107803005211027400,28,4,22,7361
169,170,2192832679506558282633875972884218300422731065439736275117067491544541947215600,28,4,22,7391
170,171,6578498038510748367908415370442547239615608278592305518313847174192031783936616,28,4,22,7414
171,172,19735494115511355650588628803394037662725019129141332941905775129210853203610284,27,4,22,7534
172,173,59206482346533805965191697256165601253089840881091257787977567146973668346446376,27,4,22,7563
173,174,177619447039601077861396819199090016686325493460504315693394916517761079402807500,27,4,22,7606
174,175,532858341118802791253794710791849176951137352608589754146401436970615269390832500,27,4,22,7624
175,176,1598575023356407799249897217397563170889732761264201721508052400369774910463647276,27,4,22,7676
176,177,4795725070069222096241429482835878374750985301480594581774505570450151606223452804,26,4,22,7734
177,178,14387175210207666274550679614571387004537812194909841014171223552193647117117132684,26,4,22,7782
178,179,43161525630622998805524467464072537164750680621655301852869468417356778216619870116,26,4,22,7812
179,180,129484576891868996393421764608363501344509913502672757121198864895668379629921393900,26,4,22,7825
180,181,388453730675606989150738673234120298948561842387707288361171662646990991796264832196,26,4,22,7873
181,182,1165361192026820967387335241695076827631185213386775545878439854625662044443219746636,25,4,22,7966
182,183,3496083576080462902161391953078278114742186564873199046805462991136355276613227454536,25,4,22,8005
183,184,10488250728241388706483404564651453159339407443935427658441215644025646885789972728636,25,4,22,8028
184,185,31464752184724166119449245696296090510669671930869933465862860274390518937109764683461,25,4,22,8040
185,186,94394256554172498358346523768862375033105866072038719799778150689425790993149204440816,25,4,22,8118
186,187,283182769662517495075036980664749819729094620700926374978591241879595339874325986548125,24,4,22,8171
187,188,849548308987552485225110920785925836132894081951475191127796604274185682938114792923125,24,4,22,8192
188,189,2548644926962657455675332736149116073315337458313880160639981944628386519130815912358125,24,4,22,8231
189,190,7645934780887972367025998176097119077297819008703523013458478539485593499077409739633125,24,4,22,8258
190,191,22937804342663917101077994460937936639180642651923493604471992564355850748806898245870600,23,4,22,8325
191,192,68813413027991751303233983382333558339438958843963305784184371252223920958556377030197100,23,4,22,8416
192,193,206440239083975253909701950146415965315033448822766873290767992755599509107858440079105000,23,4,22,8439
193,194,619320717251925761729105850438536764593009706171908790373292869876133032209361164221367500,23,4,22,8464
194,195,1857962151755777285187317551314746316524652311863237731211016706326885881993945009924425000,23,4,22,8477
195,196,5573886455267331855561952653942485934612344108314368481408234249118401831004602048031912400,22,4,22,8552
196,197,16721659365801995566685857961827447086561126597191296623881276283465691630687178470315398600,22,4,22,8585
197,198,50164978097405986700057573885482328409667369730811926214639454539536767907453569593101816400,22,4,22,8607
198,199,150494934292217960100172721656446969836592864279152364808548497644232621944532101012827232500,22,4,22,8666
199,200,451484802876653880300518164969340891089442116097521363941788490702438194999441783680109917500,22,4,22,8692
200,201,1354454408629961640901554494908022636794244588831399223628746281849813789201214027192039643125,21,4,22,8763
