n,m,c
1,2,0
2,4,4
3,6,8
4,8,32
5,10,64
6,12,128
7,14,256
8,16,768
9,18,1536
10,20,3072
11,22,6144
12,24,12288
13,26,24576
14,28,49152
15,30,98304
16,32,262144
17,34,524288
18,36,1048576
19,38,2097152
20,40,4194304
21,42,8388608
22,44,16777216
23,46,33554432
24,48,67108864
25,50,134217728
26,52,268435456
27,54,536870912
28,56,1073741824
29,58,2147483648
30,60,4294967296
31,62,8589934592
32,64,21474836480
33,66,42949672960
34,68,85899345920
35,70,171798691840
36,72,343597383680
37,74,687194767360
38,76,1374389534720
39,78,2748779069440
40,80,5497558138880
41,82,10995116277760
42,84,21990232555520
43,86,43980465111040
44,88,87960930222080
45,90,175921860444160
46,92,351843720888320
47,94,703687441776640
48,96,1407374883553280
49,98,2814749767106560
50,100,5629499534213120
51,102,11258999068426240
52,104,22517998136852480
53,106,45035996273704960
54,108,90071992547409920
55,110,180143985094819840
56,112,360287970189639680
57,114,720575940379279360
58,116,1441151880758558720
59,118,2882303761517117440
60,120,5764607523034234880
61,122,11529215046068469760
62,124,23058430092136939520
63,126,46116860184273879040
64,128,110680464442257309696
65,130,221360928884514619392
66,132,442721857769029238784
67,134,885443715538058477568
68,136,1770887431076116955136
69,138,3541774862152233910272
70,140,7083549724304467820544
71,142,14167099448608935641088
72,144,28334198897217871282176
73,146,56668397794435742564352
74,148,113336795588871485128704
75,150,226673591177742970257408
76,152,453347182355485940514816
77,154,906694364710971881029632
78,156,1813388729421943762059264
79,158,3626777458843887524118528
80,160,7253554917687775048237056
81,162,14507109835375550096474112
82,164,29014219670751100192948224
83,166,58028439341502200385896448
84,168,116056878683004400771792896
85,170,232113757366008801543585792
86,172,464227514732017603087171584
87,174,928455029464035206174343168
88,176,1856910058928070412348686336
89,178,3713820117856140824697372672
90,180,7427640235712281649394745344
91,182,14855280471424563298789490688
92,184,29710560942849126597578981376
93,186,59421121885698253195157962752
94,188,118842243771396506390315925504
95,190,237684487542793012780631851008
96,192,475368975085586025561263702016
97,194,950737950171172051122527404032
98,196,1901475900342344102245054808064
