n,m,c
99,198,3802951800684688204490109616128
100,200,7605903601369376408980219232256
101,202,15211807202738752817960438464512
102,204,30423614405477505635920876929024
103,206,60847228810955011271841753858048
104,208,121694457621910022543683507716096
105,210,243388915243820045087367015432192
106,212,486777830487640090174734030864384
107,214,973555660975280180349468061728768
108,216,1947111321950560360698936123457536
109,218,3894222643901120721397872246915072
110,220,7788445287802241442795744493830144
111,222,15576890575604482885591488987660288
112,224,31153781151208965771182977975320576
113,226,62307562302417931542365955950641152
114,228,124615124604835863084731911901282304
115,230,249230249209671726169463823802564608
116,232,498460498419343452338927647605129216
117,234,996920996838686904677855295210258432
118,236,1993841993677373809355710590420516864
119,238,3987683987354747618711421180841033728
120,240,7975367974709495237422842361682067456
121,242,15950735949418990474845684723364134912
122,244,31901471898837980949691369446728269824
123,246,63802943797675961899382738893456539648
124,248,127605887595351923798765477786913079296
125,250,255211775190703847597530955573826158592
126,252,510423550381407695195061911147652317184
127,254,1020847100762815390390123822295304634368
128,256,2381976568446569244243622252022377480192
129,258,4763953136893138488487244504044754960384
130,260,9527906273786276976974489008089509920768
131,262,19055812547572553953948978016179019841536
132,264,38111625095145107907897956032358039683072
133,266,76223250190290215815795912064716079366144
134,268,152446500380580431631591824129432158732288
135,270,304893000761160863263183648258864317464576
136,272,609786001522321726526367296517728634929152
137,274,1219572003044643453052734593035457269858304
138,276,2439144006089286906105469186070914539716608
139,278,4878288012178573812210938372141829079433216
140,280,9756576024357147624421876744283658158866432
141,282,19513152048714295248843753488567316317732864
142,284,39026304097428590497687506977134632635465728
143,286,78052608194857180995375013954269265270931456
144,288,156105216389714361990750027908538530541862912
145,290,312210432779428723981500055817077061083725824
146,292,624420865558857447963000111634154122167451648
147,294,1248841731117714895926000223268308244334903296
148,296,2497683462235429791852000446536616488669806592
149,298,4995366924470859583704000893073232977339613184
150,300,9990733848941719167408001786146465954679226368
151,302,19981467697883438334816003572292931909358452736
152,304,39962935395766876669632007144585863818716905472
153,306,79925870791533753339264014289171727637433810944
154,308,159851741583067506678528028578343455274867621888
155,310,319703483166135013357056057156686910549735243776
156,312,639406966332270026714112114313373821099470487552
157,314,1278813932664540053428224228626747642198940975104
158,316,2557627865329080106856448457253495284397881950208
159,318,5115255730658160213712896914506990568795763900416
160,320,10230511461316320427425793829013981137591527800832
161,322,20461022922632640854851587658027962275183055601664
162,324,40922045845265281709703175316055924550366111203328
163,326,81844091690530563419406350632111849100732222406656
164,328,163688183381061126838812701264223698201464444813312
165,330,327376366762122253677625402528447396402928889626624
166,332,654752733524244507355250805056894792805857779253248
167,334,1309505467048489014710501610113789585611715558506496
168,336,2619010934096978029421003220227579171223431117012992
169,338,5238021868193956058842006440455158342446862234025984
170,340,10476043736387912117684012880910316684893724468051968
171,342,20952087472775824235368025761820633369787448936103936
172,344,41904174945551648470736051523641266739574897872207872
173,346,83808349891103296941472103047282533479149795744415744
174,348,167616699782206593882944206094565066958299591488831488
175,350,335233399564413187765888412189130133916599182977662976
176,352,670466799128826375531776824378260267833198365955325952
177,354,1340933598257652751063553648756520535666396731910651904
178,356,2681867196515305502127107297513041071332793463821303808
179,358,5363734393030611004254214595026082142665586927642607616
180,360,10727468786061222008508429190052164285331173855285215232
181,362,21454937572122444017016858380104328570662347710570430464
182,364,42909875144244888034033716760208657141324695421140860928
183,366,85819750288489776068067433520417314282649390842281721856
184,368,171639500576979552136134867040834628565298781684563443712
185,370,343279001153959104272269734081669257130597563369126887424
186,372,686558002307918208544539468163338514261195126738253774848
187,374,1373116004615836417089078936326677028522390253476507549696
188,376,2746232009231672834178157872653354057044780506953015099392
189,378,5492464018463345668356315745306708114089561013906030198784
190,380,10984928036926691336712631490613416228179122027812060397568
191,382,21969856073853382673425262981226832456358244055624120795136
192,384,43939712147706765346850525962453664912716488111248241590272
193,386,87879424295413530693701051924907329825432976222496483180544
194,388,175758848590827061387402103849814659650865952444992966361088
195,390,351517697181654122774804207699629319301731904889985932722176
196,392,703035394363308245549608415399258638603463809779971865444352
197,394,1406070788726616491099216830798517277206927619559943730888704
198,396,2812141577453232982198433661597034554413855239119887461777408
199,398,5624283154906465964396867323194069108827710478239774923554816
200,400,11248566309812931928793734646388138217655420956479549847109632
