n,m,c,D,d,k,index_in_list
82,164,3355928335987809856,6,3,49,153
83,166,5991738975290842532,6,2,40,157
84,168,11927898546407685956,6,2,40,161
85,170,15030626714418931968,6,3,50,153
86,172,21803958353718907217,7,4,62,163
87,174,28364413805571490064,7,3,54,165
88,176,37344691452888360025,7,3,54,171
89,178,52604877108702932996,7,3,54,208
90,180,80112771735229195264,7,3,54,257
91,182,131775286341384267536,7,3,54,260
92,184,231375587407499403049,7,3,54,264
93,186,261701584047421410148,7,3,55,258
94,188,479831787533668759844,7,3,55,258
95,190,910645727700086198272,7,3,55,264
96,192,1766262847723127291441,7,3,55,269
97,194,3470875561504007464900,7,3,55,272
98,196,4554910900428195381248,7,4,65,269
99,198,9049508166222448365568,7,4,65,271
100,200,15234881950972800741700,7,3,56,272
101,202,30367621495311629017232,7,3,56,289
102,204,39677086507132043771236,8,4,69,283
103,206,48093799859599282607353,8,5,78,276
104,208,60058629590825351084944,8,4,70,289
105,210,81969046715632784783809,8,4,70,311
106,212,120780936804800691249385,8,4,70,415
107,214,176013641772082702779920,8,3,61,417
108,216,287163186068813208837008,8,3,61,424
109,218,500499322118710509021769,8,3,61,419
110,220,677693673986925725929113,8,4,71,420
111,222,1273256159999812115222873,8,4,71,425
112,224,2454625655340969346989764,8,4,71,432
113,226,4806645190086039535144985,8,4,71,442
114,228,9498924857569068986800097,8,4,71,445
115,230,10639599516354062451615209,8,4,72,436
116,232,21128759507012093680954345,8,4,72,436
117,234,42090508465259928939410513,8,4,72,442
118,236,66040561236196822370974628,9,5,85,458
119,238,83617092459348876125491456,9,5,85,458
120,240,102905272316064405734016753,9,4,77,455
121,242,130617206411482007249084432,9,5,86,465
122,244,181622512120023109381915712,9,4,77,638
123,246,268180534214367356611412249,9,4,77,639
124,248,428349823096873361812020548,9,4,77,647
125,250,734194648926619858235992121,9,4,77,641
126,252,1002808462779807082123296577,9,5,87,637
127,254,1868807710740187376936543232,9,5,87,650
128,256,3584938151349728711182510276,9,5,87,656
129,258,6999795037683791667240305040,9,5,87,663
130,260,10508300130647616160433455044,9,4,78,656
131,262,15513733379445878222011180944,9,5,88,657
132,264,30780690419920323914511041281,9,5,88,664
133,266,61287978440604616707011004196,9,5,88,673
134,268,110107286569086722766960922688,10,6,101,692
135,270,137083243914352846417417053760,9,5,89,684
136,272,178160484173329845671403394297,10,7,110,687
137,274,211044664728168253325235480128,10,6,102,688
138,276,289075827232468682545935675648,10,5,93,930
139,278,419467659462048796768769106329,10,5,93,925
140,280,564305498177548616444410518820,10,4,84,924
141,282,866886049683905099024765052836,10,6,103,914
142,284,1257197974892461273550406616217,10,5,94,925
143,286,2245077229694309581464248528561,10,5,94,921
144,288,4186636171685190158896840746473,10,5,94,932
145,290,8031736599613803843487935694212,10,5,94,951
146,292,15679735624415506441372108865536,10,5,94,954
147,294,23370664478056070567628442587873,10,6,104,952
148,296,34447316525032768205772519137856,10,5,95,952
149,298,68331353946204507200208722943001,10,5,95,952
150,300,103632293070243115715931485083428,10,6,105,954
151,302,206685400024043678793613900065881,10,6,105,978
152,304,264799621071736469890064058740420,11,7,118,973
153,306,344339796633957943863499919733648,11,7,118,979
154,308,454792067840135103500468917535744,11,5,100,1038
155,310,536967872037381069568286232071744,11,6,110,1073
156,312,763782910117170451600410382896985,11,6,110,1278
157,314,1177069492762007997810013947507716,11,6,110,1282
158,316,1958666951340998647922960015265700,11,6,110,1294
159,318,3471794983489310154187147337511488,11,6,110,1289
160,320,4762126253845214197435489442446992,11,5,101,1292
161,322,8874331200708719735375479303006784,11,5,101,1292
162,324,13789524648500728787069722786236992,11,6,111,1287
163,326,26843214045900857584287468630496912,11,6,111,1310
164,328,40581493283377054952527811408283825,11,7,121,1305
165,330,80382098898989251496287123718644196,11,7,121,1324
166,332,116930403344871716600687152499738896,11,6,112,1314
167,334,232665223118264336797613514789228800,11,6,112,1315
168,336,358501939474849180562089146404552441,11,7,122,1339
169,338,535480536034565050502240710269882432,12,7,126,1340
170,340,654145189459528880892717723711054848,12,8,135,1332
171,342,856630143393935338125411161443632272,12,6,117,1390
172,344,1142009122864619677221830028668885136,12,6,117,1726
173,346,1634773562127645173110519473651131684,12,6,117,1734
174,348,2473454744967838472958971082820387840,12,8,136,1726
175,350,3508402936330331098052721751163554921,12,7,127,1725
176,352,4747512124928988189441881396659328996,12,6,118,1718
177,354,8396116194760138475918755745868087824,12,6,118,1716
178,356,12736184561430188462725008040396891136,12,7,128,1725
179,358,24213396170946570226137510811519542272,12,7,128,1742
180,360,57816743350323985320605091256969389056,12,6,118,1750
181,362,92460299215285973680960040495688569088,12,7,128,1761
182,364,142145197403265662949758002217264151817,12,8,138,1765
183,366,204676353822467576535193968586737615104,12,7,129,1761
184,368,407081470742338524226377255990849790208,12,7,129,1776
185,370,811634878345763732878029458174503740416,12,7,129,1797
186,372,1030586278106727322158239950975188349028,13,8,143,1790
187,374,1271174331818815147526124971798622657028,13,8,143,1786
188,376,1621660592627958105121895666029986702336,13,7,134,1823
189,378,2137432639215114028075078056405175472128,13,7,134,2268
190,380,3020520699434816768715608300132215824640,13,7,134,2262
191,382,3926840698564105223171334225919446388992,13,8,144,2259
192,384,7632444049147116678362957487515670276352,13,7,134,2271
193,386,11087807635573944718056248472727899855936,13,8,144,2261
194,388,15054270331609534877647078502722781069312,13,7,135,2254
195,390,27733582500363831147233271708985143869440,13,7,135,2244
196,392,43238431428155592799465535409600878576144,13,8,145,2277
197,394,83778363083257588613816551819537724589056,13,8,145,2280
198,396,164544505929335418392753273451171059266404,13,8,145,2309
199,398,325730848405649363014461300964572513080900,13,8,145,2333
200,400,647722508959660614682634319189708409722756,13,8,145,2333
