n,m,c,D,d,k,index_in_list
1,2,4,2,1,1,0
2,4,8,2,1,1,0
3,6,16,2,1,1,0
4,8,32,2,1,1,0
5,10,64,2,1,1,0
6,12,128,2,1,1,0
7,14,236,2,1,1,0
8,16,388,2,1,1,0
9,18,617,2,1,1,0
10,20,1009,2,1,1,0
11,22,2404,2,1,5,2
12,24,3361,2,1,6,1
13,26,6497,2,1,6,1
14,28,12769,2,1,6,2
15,30,16825,2,1,7,1
16,32,33209,2,1,7,1
17,34,65977,2,1,7,1
18,36,131513,2,1,7,2
19,38,166672,2,1,8,1
20,40,332560,2,1,8,1
21,42,664336,2,1,8,1
22,44,975537,3,1,11,1
23,46,1364224,3,1,11,1
24,48,1854308,3,1,12,0
25,50,2693184,3,1,12,2
26,52,3504516,3,1,13,2
27,54,5331200,3,1,13,4
28,56,8775684,3,1,13,6
29,58,15443600,3,1,13,7
30,60,28546212,3,1,13,7
31,62,54506048,3,1,13,7
32,64,63363049,3,1,14,7
33,66,122734656,3,1,14,7
34,68,241105225,3,1,14,7
35,70,477457156,3,1,14,8
36,72,949755249,3,1,14,8
37,74,1893929104,3,1,14,8
38,76,2882135492,4,2,25,8
39,78,3950225936,4,1,18,11
40,80,5197419844,4,1,18,13
41,82,7256538113,4,1,18,16
42,84,10888632145,4,1,18,20
43,86,17611965668,4,1,18,29
44,88,30459086608,4,1,18,29
45,90,43001891929,4,2,27,29
46,92,81092855108,4,2,27,30
47,94,117691459876,4,1,19,29
48,96,226305044804,4,1,19,31
49,98,442401916801,4,1,19,31
50,100,703964310625,4,2,28,30
51,102,1399385138393,4,2,28,32
52,104,2789609693809,4,2,28,32
53,106,4886660326084,5,3,39,34
54,108,6392666055497,4,2,29,33
55,110,8292958900224,5,2,32,38
56,112,11420344511552,5,2,32,43
57,114,16970544668928,5,2,32,53
58,116,27295796233280,5,2,32,74
59,118,31841065026560,5,2,33,69
60,120,54300712928832,5,2,33,72
61,122,98066895638528,5,2,33,74
62,124,184341885767232,5,2,33,74
63,126,332603295621696,5,3,42,74
64,128,654983979257988,5,3,42,76
65,130,785253430212864,5,2,34,78
66,132,1550383768655936,5,2,34,78
67,134,2978753940243008,5,3,43,75
68,136,5942137126926372,5,3,43,79
69,138,9685947551018633,6,4,54,84
70,140,11924502724982084,6,3,47,80
71,142,15609304284300145,6,3,47,88
72,144,21923909467655681,6,3,47,97
73,146,33398145537695140,6,3,47,129
74,148,55085444186988608,6,3,47,150
75,150,63747807390332048,6,3,48,145
76,152,109589434858155033,6,2,39,146
77,154,196777737984986084,6,2,39,148
78,156,368159354692292964,6,2,39,153
79,158,707597426584525636,6,2,39,154
80,160,861702180162418576,6,3,49,149
81,162,1694102011969425664,6,3,49,153
