n,m,c
132,264,7144490737842931363761321497721595684735976955777344557412588861024831888662691400342145812381297134917570718402
133,266,50011435164900519546329250484051169793151838690441411901888122027173823220638839802395020686669079944422995028814
134,268,350080046154303636824304753388358188552062870833089883313216854190216762544471878616765144806683559610960965201698
135,270,2450560323080125457770133273718507319864440095831629183192517979331517337811303150317356013646784917276726756411886
136,272,17153922261560878204390932916029551239051080670821404282347625855320621364679122052221492095527494420937087294883202
137,274,120077455830926147430736530412206858673357564695749829976433380987244349552753854365550444668692460946559611064182414
138,276,840542190816483032015155712885448010713502952870248809835033666910710446869276980558853112680847226625917277449276898
139,278,5883795335715381224106089990198136074994520670091741668845235668374973128084938863911971788765930586381420942144938286
140,280,41186567350007668568742629931386952524961644690642191681916649678624811896594572047383802521361514104669946595014568002
141,282,288305971450053679981198409519708667674731512834495341773416547750373683276162004331686617649530598732689626165101976014
142,284,2018141800150375759868388866637960673723120589841467392413915834252615782933134030321806323546714191128827383155713832098
143,286,14126992601052630319078722066465724716061844128890271746897410839768310480531938212252644264826999337901791682089996824686
144,288,98888948207368412233551054465260073012432908902231902228281875878378173363723567485768509853788995365312541774629977772802
145,290,692222637451578885634857381256820511087030362315623315597973131148647213546064972400379568976522967557187792422409844409614
146,292,4845558462161052199444001668797743577609212536209363209185811918040530494822454806802656982835660772900314546956868910867298
147,294,33918909235127365396108011681584205043264487753465542464300683426283713463757183647618598879849625410302201828698082376071086
148,296,237432364645891557772756081771089435302851414274258797250104783983985994246300285533330192158947377872115412800886576632497602
149,298,1662026552521240904409292572397626047119959899919811580750733487887901959724101998733311345112631645104807889606206036427483214
150,300,11634185867648686330865048006783382329839719299438681065255134415215313718068713991133179415788421515733655227243442254992382498
151,302,81439301073540804316055336047483676308878035096070767456785940906507196026480997937932255910518950610135586590704095784946677486
152,304,570075107514785630212387352332385734162146245672495372197501586345550372185366985565525791373632654270949106134928670494626742402
153,306,3990525752603499411486711466326700139135023719707467605382511104418852605297568898958680539615428579896643742944500693462387196814
154,308,27933680268224495880406980264286900973945166037952273237677577730931968237082982292710763777308000059276506200611504854236710377698
155,310,195535761877571471162848861850008306817616162265665912663743044116523777659580876048975346441156000414935543404280533979656972643886
156,312,1368750333143000298139942032950058147723313135859661388646201308815666443617066132342827425088092002904548803829963737857598808507202
157,314,9581252332001002086979594230650407034063191951017629720523409161709665105319462926399791975616644020331841626809746165003191659550414
158,316,67068766324007014608857159614552849238442343657123408043663864131967655737236240484798543829316508142322891387668223155022341616852898
159,318,469481364268049102262000117301869944669096405599863856305647048923773590160653683393589806805215556996260239713677562085156391317970286
160,320,3286369549876343715834000821113089612683674839199046994139529342466415131124575783755128647636508898973821677995742934596094739225792002
161,322,23004586849134406010838005747791627288785723874393328958976705397264905917872030486285900533455562292816751745970200542172663174580544014
162,324,161032107943940842075866040234541391021500067120753302712836937780854341425104213404001303734188936049717262221791403795208642222063808098
163,326,1127224755607585894531062281641789737150500469845273118989858564465980389975729493828009126139322552348020835552539826566460495554446656686
164,328,7890573289253101261717435971492528160053503288916911832929009951261862729830106456796063882975257866436145848867778785965223468881126596802
165,330,55234013024771708832022051800447697120374523022418382830503069658833039108810745197572447180826805065053020942074451501756564282167886177614
166,332,386638091173401961824154362603133879842621661156928679813521487611831273761675216383007130265787635455371146594521160512295949975175203243298
167,334,2706466638213813732769080538221937158898351628098500758694650413282818916331726514681049911860513448187598026161648123586071649826226422703086
168,336,18945266467496696129383563767553560112288461396689505310862552892979732414322085602767349383023594137313186183131536865102501548783584958921602
169,338,132616865272476872905684946372874920786019229776826537176037870250858126900254599219371445681165158961192303281920758055717510841485094712451214
170,340,928318056907338110339794624610124445502134608437785760232265091756006888301782194535600119768156112728346122973445306390022575890395662987158498
171,342,6498226398351366772378562372270871118514942259064500321625855642292048218112475361749200838377092789098422860814117144730158031232769640910109486
172,344,45487584788459567406649936605896097829604595813451502251380989496044337526787327532244405868639649523688960025698820013111106218629387486370766402
173,346,318413093519216971846549556241272684807232170694160515759666926472310362687511292725710841080477546665822720179891740091777743530405712404595364814
174,348,2228891654634518802925846893688908793650625194859123610317668485306172538812579049079975887563342826660759041259242180642444204712839986832167553698
175,350,15602241582441631620480928255822361555554376364013865272223679397143207771688053343559831212943399786625313288814695264497109432989879907825172875886
176,352,109215691077091421343366497790756530888880634548097056905565755780002454401816373404918818490603798506377193021702866851479766030929159354776210131202
177,354,764509837539639949403565484535295716222164441836679398338960290460017180812714613834431729434226589544640351151920067960358362216504115483433470918414
178,356,5351568862777479645824958391747070013555151092856755788372722033220120265689002296841022106039586126812482458063440475722508535515528808384034296428898
179,358,37460982039442357520774708742229490094886057649997290518609054232540841859823016077887154742277102887687377206444083330057559748608701658688240075002286
180,360,262226874276096502645422961195606430664202403549981033630263379627785893018761112545210083195939720213811640445108583310402918240260911610817680525016002
181,362,1835588119932675518517960728369245014649416824849867235411843657394501251131327787816470582371578041496681483115760083172820427681826381275723763675112014
182,364,12849116839528728629625725098584715102545917773949070647882905601761508757919294514715294076601046290476770381810320582209742993772784668930066345725784098
183,366,89943817876701100407380075690093005717821424417643494535180339212330561305435061603007058536207324033337392672672244075468200956409492682510464420080488686
184,368,629606725136907702851660529830651040024749970923504461746262374486313929138045431221049409753451268233361748708705708528277406694866448777573250940563420802
185,370,4407247075958353919961623708814557280173249796464531232223836621404197503966318018547345868274158877633532240960939959697941846864065141443012756583943945614
186,372,30850729531708477439731365961701900961212748575251718625566856349829382527764226129831421077919112143434725686726579717885592928048455990101089296087607619298
187,374,215955106721959342078119561731913306728489240026762030378967994448805677694349582908819947545433785004043079807086058025199150496339191930707625072613253335086
188,376,1511685747053715394546836932123393147099424680187334212652775961141639743860447080361739632818036495028301558649602406176394053474374343514953375508292773345602
189,378,10581800229376007761827858524863752029695972761311339488569431727991478207023129562532177429726255465198110910547216843234758374320620404604673628558049413419214
190,380,74072601605632054332795009674046264207871809329179376419986022095940347449161906937725242008083788256386776373830517902643308620244342832232715399906345893934498
191,382,518508211239424380329565067718323849455102665304255634939902154671582432144133348564076694056586517794707434616813625318503160341710399825629007799344421257541486
192,384,3629557478675970662306955474028266946185718657129789444579315082701077025008933439948536858396105624562952042317695377229522122391972798779403054595410948802790402
193,386,25406902350731794636148688318197868623300030599908526112055205578907539175062534079639758008772739371940664296223867640606654856743809591455821382167876641619532814
194,388,177848316455122562453040818227385080363100214199359682784386439052352774225437738557478306061409175603584650073567073484246583997206667140190749675175136491336729698
195,390,1244938215185857937171285727591695562541701499395517779490705073366469419578064169902348142429864229225092550514969514389726087980446669981335247726225955439357107886
196,392,8714567506301005560199000093141868937791910495768624456434935513565285937046449189316436997009049604575647853604786600728082615863126689869346734083581688075499755202
197,394,61001972544107038921393000651993082564543373470380371195044548594957001559325144325215058979063347232029534975233506205096578311041886829085427138585071816528498286414
198,396,427013807808749272449751004563951577951803614292662598365311840164699010915276010276505412853443430624206744826634543435676048177293207803597989970095502715699488004898
199,398,2989096654661244907148257031947661045662625300048638188557182881152893076406932071935537889974104014369447213786441804049732337241052454625185929790668519009896416034286
200,400,20923676582628714350037799223633627319638377100340467319900280168070251534848524503548765229818728100586130496505092628348126360687367182376301508534679633069274912240002
