n,m,c,k
107,214,122660740318336915973750784,4
108,216,245321480636673831947501568,5
109,218,490642961273347663895003136,6
110,220,584274163350249146195148800,15
111,222,1168548326700498292390297600,16
112,224,1400973042607617136385728512,7
113,226,2775279034666022989886259200,17
114,228,3339228646703011107184343296,8
115,230,6579223824201046058834329600,18
116,232,13158447648402092117668659200,19
117,234,15891250858393557559937089536,10
118,236,31138472207467936048847257600,20
119,238,37750227326210519277583321088,11
120,240,73558128673546522615089201152,21
121,242,91906512141181702129680080000,3
122,244,179062326067411736597039710208,13
123,246,346936797084851929337695305728,23
124,248,423999429304743224428335087616,14
125,250,847998858609486448856670175232,15
126,252,1039231369427763909036568322304,6
127,254,2004820867756141440110675623936,16
128,256,2465570075705593544283136985088,7
129,258,4732467539324177775680003637248,17
130,260,9464935078648355551360007274496,18
131,262,11682209806117720166429257367552,9
132,264,22308667885073809210239340249088,19
133,266,27636670711282068720363964785664,10
134,268,52503155151797687749361967038464,20
135,270,65288962207814365351516908750848,11
136,272,130577924415628730703033817501696,12
137,274,162471070292408604831600363773952,3
138,276,308054190366545565700376934612992,13
139,278,384563555842099099328431440265216,4
140,280,725767561049912226160675822043136,14
141,282,1451535122099824452321351644086272,15
142,284,1707617415189486385902558899109888,15
143,286,3415234830378972771805117798219776,16
144,288,4292636827984217006897637126963200,7
145,290,8025007948556490003105163600068608,17
146,292,10122193397205397770969315964616704,8
147,294,18832644804218630265453983080382464,18
148,296,37665289608437260530907966160764928,19
149,298,47678671268284871026414072329404416,10
150,300,88278907537523877596268215060660224,20
151,302,112155483827689970950819246778550272,11
152,304,206647914398294643223650948551278592,21
153,306,263512597461404845493383461526061056,12
154,308,527025194922809690986766923052122112,13
155,310,670481027662158528462359408720568384,4
156,312,1236813526626453885662069103212953600,14
157,314,1578631885428631254256158235710111872,5
158,316,2899187974344619240066114050880176128,15
159,318,5798375948689238480132228101760352256,16
160,320,7425522767190161276150121356365135872,7
161,322,13576411107519377372458754619951153152,17
162,324,17445017046714037313775464991108796416,8
163,326,31752436959830797726753316597524332544,18
164,328,40940226078808772238121817795103694848,9
165,330,74180452524442568906006806327545823232,19
166,332,105240608403317662778834681819194024448,1
167,334,191955119115892574880094313283774087168,11
168,336,247475321656366954511186889075198850624,2
169,338,449537395514651104724285784687888338944,12
170,340,581360481842890791152089820438886490112,3
171,342,1051682207456816468449262858828721364992,13
172,344,2103364414913632936898525717657442729984,14
173,346,2728723420922782115446250945549194383872,5
174,348,4915770489696829446818168794458274168832,15
175,350,6397630977637447452082744038096949940224,6
176,352,11477115077749382967151437032960675086336,16
177,354,14985100338282087126340815896914603286528,7
178,356,26769700672796417924415534389654245081088,17
179,358,53539401345592835848831068779308490162176,18
180,360,70131960493918353357513663420079787737088,9
181,362,124755414302825609784238730814793824862208,19
182,364,163958196868149505311261013274266658996224,10
183,366,214455510177130111024775186264812704271488,1
184,368,382953453660586840597706515026133484306432,11
185,370,765906907321173681195413030052266968612864,12
186,372,893633295395113404003466682233394705305600,12
187,374,1787266590790226808006933364466789410611200,13
188,376,2351746735425103635527412208907472272691264,4
189,378,4166850207878470975094113530925477814861824,14
190,380,5499564797573333964429988662761620840837632,5
191,382,9705910086204971801074719967065493843771392,15
192,384,12849586734913257399773597142735177426681856,6
193,386,25699173469826514799547194285470354853363712,7
194,388,45176127636372920155566653457556781383811072,17
195,390,59993916592064057614299697067163865836752896,8
196,392,105043836557033459906087994248056970124722176,18
197,394,139935075658631589221486276941253906423226368,9
198,396,244036825657985010814951694196703923103858688,19
199,398,326122899930287459988332485845908982065004544,10
200,400,652245799860574919976664971691817964130009088,11
