n,m,c,k
1,2,2,1
2,4,8,1
3,6,16,2
4,8,32,3
5,10,64,4
6,12,128,5
7,14,256,6
8,16,512,7
9,18,1024,8
10,20,2048,9
11,22,4096,10
12,24,8192,11
13,26,16384,12
14,28,32768,13
15,30,65536,14
16,32,131072,15
17,34,262144,16
18,36,524288,17
19,38,1048576,18
20,40,2097152,19
21,42,4194304,20
22,44,8388608,21
23,46,16777216,22
24,48,33554432,23
25,50,67108864,24
26,52,134217728,25
27,54,268435456,26
28,56,536870912,27
29,58,934502912,9
30,60,1869005824,10
31,62,3738011648,11
32,64,4996800512,11
33,66,9993601024,12
34,68,19987202048,13
35,70,26365427712,13
36,72,52730855424,14
37,74,85063222336,6
38,76,170126444672,7
39,78,274877906944,16
40,80,439813017856,8
41,82,879626035712,9
42,84,1759252071424,10
43,86,2256052064256,10
44,88,4512104128512,11
45,90,5743284092928,11
46,92,11486568185856,12
47,94,19335227129856,4
48,96,29036833144832,13
49,98,58073666289664,14
50,100,97771594754304,6
51,102,145833687252992,15
52,104,245880391731200,7
53,106,491760783462400,8
54,108,983521566924800,9
55,110,1230399047885312,9
56,112,2156572208058578,1
57,114,3063482576797696,10
58,116,6126965153595392,11
59,118,10766231038799048,3
60,120,15183870269231104,12
61,122,26766637907896384,4
62,124,53533275815792768,5
63,126,66289683098667008,5
64,128,132579366197334016,6
65,130,184044638833737728,15
66,132,327120986018144768,7
67,134,654241972036289536,8
68,136,804223207087965184,8
69,138,1608446414175930368,9
70,140,2932715252236623872,1
71,142,3940606891492900864,10
72,144,7214250477097062400,2
73,146,9621835860090060800,11
74,148,17693181767584972800,3
75,150,35386363535169945600,4
76,152,43266464333862019600,4
77,154,86532928667724039200,5
78,156,113626733781909520384,14
79,158,211005309566491588864,6
80,160,422010619132983177728,7
81,162,513104897530724556800,7
82,164,1026209795061449113600,8
83,166,1244378810109098868736,8
84,168,2488757620218197737472,9
85,170,4716903462187991755592,1
86,172,5731487300158889592968,1
87,174,11462974600317779185936,2
88,176,14524508079411045367808,11
89,178,27792115498171862267168,3
90,180,55584230996343724534336,4
91,182,67228571173835898885184,4
92,184,134457142347671797770368,5
93,186,162262206900498031847552,5
94,188,324524413800996063695104,6
95,190,649048827601992127390208,7
96,192,781563936751675885839488,7
97,194,1563127873503351771678976,8
98,196,1878265323176334848071936,8
99,198,3756530646352669696143872,9
100,200,4504489491961894695776768,9
101,202,8867091698417095288857632,1
102,204,17734183396834190577715264,2
103,206,21325288094909513944678656,2
104,208,42650576189819027889357312,3
105,210,51191472545273485111480448,3
106,212,102382945090546970222960896,4
