n,m,c
1,2,0
2,4,0
3,6,27
4,8,81
5,10,243
6,12,729
7,14,2187
8,16,6561
9,18,39366
10,20,118098
11,22,354294
12,24,1062882
13,26,3188646
14,28,9565938
15,30,28697814
16,32,86093442
17,34,258280326
18,36,774840978
19,38,2324522934
20,40,6973568802
21,42,20920706406
22,44,62762119218
23,46,188286357654
24,48,564859072962
25,50,1694577218886
26,52,5083731656658
27,54,22876792454961
28,56,68630377364883
29,58,205891132094649
30,60,617673396283947
31,62,1853020188851841
32,64,5559060566555523
33,66,16677181699666569
34,68,50031545098999707
35,70,150094635296999121
36,72,450283905890997363
37,74,1350851717672992089
38,76,4052555153018976267
39,78,12157665459056928801
40,80,36472996377170786403
41,82,109418989131512359209
42,84,328256967394537077627
43,86,984770902183611232881
44,88,2954312706550833698643
45,90,8862938119652501095929
46,92,26588814358957503287787
47,94,79766443076872509863361
48,96,239299329230617529590083
49,98,717897987691852588770249
50,100,2153693963075557766310747
51,102,6461081889226673298932241
52,104,19383245667680019896796723
53,106,58149737003040059690390169
54,108,174449211009120179071170507
55,110,523347633027360537213511521
56,112,1570042899082081611640534563
57,114,4710128697246244834921603689
58,116,14130386091738734504764811067
59,118,42391158275216203514294433201
60,120,127173474825648610542883299603
61,122,381520424476945831628649898809
62,124,1144561273430837494885949696427
63,126,3433683820292512484657849089281
64,128,10301051460877537453973547267843
65,130,30903154382632612361920641803529
66,132,92709463147897837085761925410587
67,134,278128389443693511257285776231761
68,136,834385168331080533771857328695283
69,138,2503155504993241601315571986085849
70,140,7509466514979724803946715958257547
71,142,22528399544939174411840147874772641
72,144,67585198634817523235520443624317923
73,146,202755595904452569706561330872953769
74,148,608266787713357709119683992618861307
75,150,1824800363140073127359051977856583921
76,152,5474401089420219382077155933569751763
77,154,16423203268260658146231467800709255289
78,156,49269609804781974438694403402127765867
79,158,147808829414345923316083210206383297601
80,160,443426488243037769948249630619149892803
81,162,1773705952972151079792998522476599571212
82,164,5321117858916453239378995567429798713636
83,166,15963353576749359718136986702289396140908
84,168,47890060730248079154410960106868188422724
85,170,143670182190744237463232880320604565268172
86,172,431010546572232712389698640961813695804516
87,174,1293031639716698137169095922885441087413548
88,176,3879094919150094411507287768656323262240644
89,178,11637284757450283234521863305968969786721932
90,180,34911854272350849703565589917906909360165796
91,182,104735562817052549110696769753720728080497388
92,184,314206688451157647332090309261162184241492164
93,186,942620065353472941996270927783486552724476492
94,188,2827860196060418825988812783350459658173429476
95,190,8483580588181256477966438350051378974520288428
96,192,25450741764543769433899315050154136923560865284
97,194,76352225293631308301697945150462410770682595852
98,196,229056675880893924905093835451387232312047787556
99,198,687170027642681774715281506354161696936143362668
100,200,2061510082928045324145844519062485090808430088004
101,202,6184530248784135972437533557187455272425290264012
102,204,18553590746352407917312600671562365817275870792036
103,206,55660772239057223751937802014687097451827612376108
104,208,166982316717171671255813406044061292355482837128324
105,210,500946950151515013767440218132183877066448511384972
106,212,1502840850454545041302320654396551631199345534154916
107,214,4508522551363635123906961963189654893598036602464748
108,216,13525567654090905371720885889568964680794109807394244
109,218,40576702962272716115162657668706894042382329422182732
110,220,121730108886818148345487973006120682127146988266548196
111,222,365190326660454445036463919018362046381440964799644588
112,224,1095570979981363335109391757055086139144322894398933764
113,226,3286712939944090005328175271165258417432968683196801292
114,228,9860138819832270015984525813495775252298906049590403876
115,230,29580416459496810047953577440487325756896718148771211628
116,232,88741249378490430143860732321461977270690154446313634884
117,234,266223748135471290431582196964385931812070463338940904652
118,236,798671244406413871294746590893157795436211390016822713956
119,238,2396013733219241613884239772679473386308634170050468141868
120,240,7188041199657724841652719318038420158925902510151404425604
121,242,21564123598973174524958157954115260476777707530454213276812
122,244,64692370796919523574874473862345781430333122591362639830436
123,246,194077112390758570724623421587037344290999367774087919491308
124,248,582231337172275712173870264761112032872998103322263758473924
125,250,1746694011516827136521610794283336098618994309966791275421772
126,252,5240082034550481409564832382850008295856982929900373826265316
127,254,15720246103651444228694497148550024887570948789701121478795948
128,256,47160738310954332686083491445650074662712846369103364436387844
129,258,141482214932862998058250474336950223988138539107310093309163532
130,260,424446644798588994174751423010850671964415617321930279927490596
131,262,1273339934395766982524254269032552015893246851965790839782471788
132,264,3820019803187300947572762807097656047679740555897372519347415364
133,266,11460059409561902842718288421292968143039221667692117558042246092
134,268,34380178228685708528154865263878904429117665003076352674126738276
135,270,103140534686057125584464595791636713287352995009229058022380214828
136,272,309421604058171376753393787374910139862058985027687174067140644484
137,274,928264812174514130260181362124730419586176955083061522201421933452
138,276,2784794436523542390780544086374191258758530865249184566604265800356
139,278,8354383309570627172341632259122573776275592595747553699812797401068
140,280,25063149928711881517024896777367721328826777787242661099438392203204
141,282,75189449786135644551074690332103163986480333361727983298315176609612
142,284,225568349358406933653224070996309491959441000085183949894945529828836
143,286,676705048075220800959672212988928475878323000255551849684836589486508
144,288,2030115144225662402879016638966785427634969000766655549054509768459524
145,290,6090345432676987208637049916900356282904907002299966647163529305378572
146,292,18271036298030961625911149750701068848714721006899899941490587916135716
147,294,54813108894092884877733449252103206546144163020699699824471763748407148
148,296,164439326682278654633200347756309619638432489062099099473415291245221444
149,298,493317980046835963899601043268928858915297467186297298420245873735664332
150,300,1479953940140507891698803129806786576745892401558891895260737621206992996
151,302,4439861820421523675096409389420359730237677204676675685782212863620978988
152,304,13319585461264571025289228168261079190713031614030027057346638590862936964
153,306,39958756383793713075867684504783237572139094842090081172039915772588810892
154,308,119876269151381139227603053514349712716417284526270243516119747317766432676
155,310,359628807454143417682809160543049138149251853578810730548359241953299298028
156,312,1078886422362430253048427481629147414447755560736432191645077725859897894084
157,314,3236659267087290759145282444887442243343266682209296574935233177579693682252
158,316,9709977801261872277435847334662326730029800046627889724805699532739081046756
159,318,29129933403785616832307542003986980190089400139883669174417098598217243140268
160,320,87389800211356850496922626011960940570268200419651007523251295794651729420804
161,322,262169400634070551490767878035882821710804601258953022569753887383955188262412
162,324,786508201902211654472303634107648465132413803776859067709261662151865564787236
163,326,2359524605706634963416910902322945395397241411330577203127784986455596694361708
164,328,7078573817119904890250732706968836186191724233991731609383354959366790083085124
165,330,21235721451359714670752198120906508558575172701975194828150064878100370249255372
166,332,63707164354079144012256594362719525675725518105925584484450194634301110747766116
167,334,191121493062237432036769783088158577027176554317776753453350583902903332243298348
168,336,573364479186712296110309349264475731081529662953330260360051751708709996729895044
169,338,1720093437560136888330928047793427193244588988859990781080155255126129990189685132
170,340,5160280312680410664992784143380281579733766966579972343240465765378389970569055396
