n,m,c,D,d,k,index_in_list
1,2,2,2,1,1,0
2,4,4,2,1,1,0
3,6,10,2,1,1,0
4,8,28,2,1,1,0
5,10,82,2,1,1,0
6,12,244,2,1,1,0
7,14,730,2,1,1,0
8,16,2188,2,1,1,0
9,18,6562,2,1,1,0
10,20,19684,2,1,1,0
11,22,122832,4,1,2,6
12,24,297205,4,1,2,6
13,26,790957,4,1,2,6
14,28,1594324,9,8,1,1
15,30,4782970,9,8,1,4
16,32,14348908,9,8,1,5
17,34,43046722,10,9,1,5
18,36,129140164,10,9,1,6
19,38,387420490,10,9,1,8
20,40,1162261468,11,10,1,14
21,42,3486784402,11,10,1,18
22,44,10460353204,11,10,1,18
23,46,31381060185,12,10,1,21
24,48,94143179452,12,10,1,28
25,50,282429537157,12,10,1,36
26,52,847288752327,13,10,1,44
27,54,2541865993165,13,10,1,44
28,56,7476739407721,7,1,4,47
29,58,17704764641088,7,1,4,52
30,60,46423403859600,7,1,4,63
31,62,129907728055216,7,1,4,74
32,64,376766104072977,7,1,4,80
33,66,1112550672335728,7,1,4,80
34,68,3135825578697300,8,1,5,77
35,70,9908367173995248,7,1,4,109
36,72,29681968276634665,7,1,4,130
37,74,88988879779186624,7,1,4,136
38,76,266891821544770704,7,1,4,136
39,78,690493814748702625,9,1,5,134
40,80,1635787235980111396,9,1,5,150
41,82,4289812386346182925,9,1,5,175
42,84,12001573333829636100,9,1,5,197
43,86,34794955650703154625,9,1,5,202
44,88,101340248436317607300,8,2,9,200
45,90,266193112760216344528,10,1,6,204
46,92,606885048315706160872,10,1,6,224
47,94,1549347953498956066608,10,1,6,255
48,96,4266895781982891812749,10,1,6,275
49,98,12269017531396989155797,10,1,6,283
50,100,36070450102004430928932,10,1,6,283
51,102,111089338773852565200151,10,2,10,319
52,104,332000343355848660795346,10,2,10,373
53,106,994309116773181922405836,10,2,10,408
54,108,2962868646690625187336221,11,1,6,408
55,110,8740384095734877493577232,11,1,6,408
56,112,21591961336992145592947588,12,1,7,428
57,114,49077009441193708604173426,12,1,7,457
58,116,125001781290076018519740052,12,1,7,536
59,118,343716176756327032329225778,12,1,7,525
60,120,987359656803424520794980291,12,1,7,537
61,122,2901136905777484195633635145,12,1,7,544
62,124,7685309822198194353031353477,13,2,12,575
63,126,17716358209646758363375717564,13,2,12,613
64,128,45690532719696455885795332885,13,2,12,686
65,130,126709716820681898477128818576,13,2,12,689
66,132,365809399307688979997364685221,13,2,12,689
67,134,1077739542747157657970475742572,13,2,12,712
68,136,3206281665360948791166908772948,13,2,12,797
69,138,9582167609881854526122213981196,13,2,12,912
70,140,26589016615321017274614886786176,14,1,8,904
71,142,86023319065784119070851494410028,13,2,12,928
72,144,257979870644598729024876978768360,13,2,12,974
73,146,596665334983318671521930221842057,15,2,13,992
74,148,1395747340477561212711661227989979,15,2,13,1070
75,150,3635166163937715165171778439267025,15,2,13,1121
76,152,10135966925674458335995978024556163,15,2,13,1134
77,154,29340059427921848936211737862587802,15,2,13,1168
78,156,86544842092031845470618419727018484,15,2,13,1207
79,158,239200477393127864737275912019628025,16,3,18,1282
80,160,598035163810799654212816829561479956,16,3,18,1394
