n,m,c,k
136,272,4333998435357165307574103074503074704002594416685074668223742354352926969758580176196535754240,1
137,274,17672680482276445133621838300673579950125273164646370398282406626880170983643836047081836863800,1
138,276,72047233962616846118713075978095283481557479974806905771092792892560611836271103721553437400704,1
139,278,293653551260368731312197720388491284092008841461899283330183128567773447284889039741304340639268,1
140,280,2131068071796137954834880774801721102235754523587430144686833449903887158977302273880785985653600,1
141,282,8688106497212199157571758224147332994947245714236577503124606086633840806783019357726904448150388,1
142,284,35412595642376715859402188208559482930162051240108125636195433463860524042925056384501808744750464,1
143,286,144310166688537330213584713119047998175656880179996968842588657581436010869984981781625149520843968,1
144,288,587955325882194525618176262136666078928365987306219879623856598656542628975047619339009153088563200,1
145,290,4269309408394840954955473797713622601561472636726952986448799833939024217086556448213461239245802000,1
146,292,17398531395838023162132417745102453026788764029627280706458063413241877931771511470398863917410506560,1
147,294,70888754771079251406878769613765170818962033653689077596043548784943345627268863602948962862208377440,1
148,296,288770940486534384191878071220909908717064093526224286890092840173280785543333582549107225580191246080,1
149,298,1176095423675040950552855292824495593793642427286539292862077718097677752895829426789675762948340017600,1
150,300,4789013698408023037489142666405953224853257515302132990318176163866280945494102106365322005886822560000,1
151,302,34808598250847546969638061388002650422652011235854204930974044949597860878323366584334630584971610825344,1
152,304,141773553612167091632652965064470380135214683147356756847331230026996269709770433991011368895759169572384,1
153,306,577324128749630985225037372296131513756771280028003558835586052003510897612956223004729252378959306210380,1
154,308,2350506257412335920585134736895888099677602831208899992482711605028423491611922876421361803056821101546440,1
155,310,9568012361267016197043302267029357488770289008324449336915594130405606068175103006085845155764763514813720,1
156,312,69579043866879712744696037690592175152407750197821782232988244137753932288129950955591212149413605463713280,1
157,314,283296813323862507024640073299773159863145515185254142254562447979734699309523427946475870070809717335911840,1
158,316,1153253406535990328283123999496203571933602894801762906525159601357279656671229120198817127670224885666553600,1
159,318,4693847154951623538605976284821798429861565093757495492506283675244329619508727431670540271836304501734984048,1
160,320,19100976469055311272581717811807045357849293864279920517707718743841086014893939251776421078252548618931507200,1
161,322,138968532175890212778623398751522775670312622708955679978040338547907029255490549808295650841384899089064641252,1
162,324,565644818977114727649547639626100948515578836185536590058510205495229910662806684204851306811457366739067417960,1
163,326,2301943593158942294808724447516312662752380402072952195999975999173318007328610612605443487025170530158879936428,1
164,328,9366347817199768016352599198396072430655421711550034994844622100337732931983170681492558969260109487321138619776,1
165,330,38104109585653417866273779764681665632400397671840665766703992492949133633649064334584850898613466370114568196400,1
166,332,154988849283871875716808935705777369255003183967781183791536579831598131269711306907254860640285668429428626491048,1
167,334,1128563195248329634828159456452260261908373043566945380772447546686590557340043504822209636797861120842312082931600,1
168,336,4591482327953422287993422158526415321882917079203217068992737270551391701258907437438865123954438792813344899603200,1
169,338,18677038065981408731485939207498145322114899252612723124822920956491118916890453612449923024943676408313223087019500,1
170,340,75961275966593740180460060676227976476690600842976125942054373287589411707772486619569010512937211205664727397610000,1
171,342,308892059179569826511872452460205730935056858659811402494586449370056566784468371602264714115890754619726157992019200,1
172,344,2250141129841731920329859560075214559457757247145773193533031435721551445758938160190531609822724458686561889795539200,1
173,346,9152095863657168157352797629429175988863941199834885568175888077118572638334962697818470787164359066885243040368270400,1
174,348,37218809147296950425297468723230296119514051217841088718937351131789752359150223166006478052834614069049586123440432000,1
175,350,151334005814587427942372290194222911365042057217096198029092350232175306156302381335382886426430964258013947779474400000,1
176,352,615238826447000591952232477333600958582634980955341878838011884842669528740710912188751376053432188538114891570144675840,1
177,354,4483479438946643214849296686174153084231196036558386177239921410350973773740259195673745399201661810993856591155463468640,1
178,356,18231259635393817382054320893560885097978277116472679037899594934302584410958123934522234273813581516138827680655386496000,1
179,358,74122850046879085092284607649872925119090170957683062812500112715366235575545903846553454831289643318459720355148373798000,1
180,360,301316175196341627341095260215127135469911898229450886617240868922048813620692979546582468412145174194689653642830549228800,1
181,362,1224696927570705797941799020584559329487939477504946230860318721991464552971805547287619428857018820291535613252048990078960,1
182,364,4977045163275282082462971353673656545150153497696528594926905217727679061975360710373973136621047258225173624777227055266560,1
183,366,36295982152804070351152008290087799998381452292565164718056547814955135182758272334533556847825646237538208225171645515986400,1
184,368,147534513164144152280942903582864336266226985488816463143494997163283609117200670963119636871775703334098990325475386292052480,1
185,370,599606273724793581911846666214766167605144170537684427469040888298159536806875433010667178897722664991995164220693082081398000,1
186,372,2436559697476040270635828677864420605599949615448156708691866671031416034536533952725639275527154074496536313159709463524510080,1
187,374,9899816807087052737981065721188484434060879328085950377203043225256344347977061121150628185072434524072758898100196544458242240,1
188,376,72220736315549228553327274851378368976882044842969885041931084504288111869646328097727820948015477661375981741952776220818478080,1
189,378,293496035027754670112158033252628655714607238943755140920718223102915892056627543138949524068086880526777356742799704049560415360,1
190,380,1192565974787638277112126748932662196988526022294642949584815195830125482428100381119202907528677140794849450715376377362068160000,1
191,382,4845105818578565330388700004706357687831594868423570785727739799863114693001037434658374251559322334404056156690496882753996435200,1
192,384,19681835951724521898472772960016316869188684868525526011292593862306700070987495652831331957352758818717133310426350704554627072000,1
193,386,79941121092397505130891634430324086236802850264578067880730070080481358984616838422337338193773170743034536140683355989109743346200,1
194,388,583568472157590337697604841603683916362557528970582788712849782149670751901284944164241890401237787183600438793706787783485696282000,1
195,390,2370743807450395584095016384768245191071787952609892876874316931587424635652762030377267769309841730992481037421409370935760640410000,1
196,392,9629866752212056874294064122742534945583087495967077606581616065244033155855890773983935616000394217874830279059595562216930813639200,1
197,394,39111056074217356355551256265274397968285496758401898076043577284559429120919916235945167913131130452147608274156454029553686309538800,1
198,396,158826574491490672199067029574598624887160087509935266338375764544655305683354746673892480998028673426478319605945562692873001139629600,1
199,398,1159778546444487246928891437053555586086797009520893511517019142845037338347280892148665718437429742084772090239672842073023626447703000,1
200,400,4710696275605941112415462382214331479548610277855261880680514750491084252731703204081662416163599990851071155722831725623240809766400000,1
