n,m,c,k
1,2,1,1
2,4,128,1
3,6,576,2
4,8,2048,3
5,10,6400,4
6,12,18432,5
7,14,50176,6
8,16,131072,7
9,18,331776,8
10,20,819200,9
11,22,1982464,10
12,24,4718592,11
13,26,11075584,12
14,28,25690112,13
15,30,58982400,14
16,32,134217728,15
17,34,303038464,16
18,36,679477248,17
19,38,1514143744,18
20,40,3355443200,19
21,42,7398752256,20
22,44,16240345088,21
23,46,35500589056,22
24,48,77309411328,23
25,50,167772160000,24
26,52,362924736512,25
27,54,782757789696,26
28,56,1683627180032,27
29,58,3612067495936,28
30,60,7730941132800,29
31,62,16509854285824,30
32,64,35184372088832,31
33,66,74835510165504,32
34,68,158879430213632,33
35,70,336725436006400,34
36,72,712483534798848,35
37,74,1505231418425344,36
38,76,3175389581017088,37
39,78,6689428743389184,38
40,80,14073748835532800,39
41,82,29572464740663296,40
42,84,62065232364699648,41
43,86,130111807984500736,42
44,88,272467777455915008,43
45,90,569986827839078400,44
46,92,1191202101439496192,45
47,94,2106172387424028800,1
48,96,2864915241299085312,1
49,98,3871393325255916488,1
50,100,5198523423901520000,1
51,102,6938444810806512768,1
52,104,9207022678652684288,1
53,106,202409781652539572224,52
54,108,420239888429195722752,53
55,110,871896887858928025600,54
56,112,1394519777886844485632,1
57,114,1875249334649160881352,1
58,116,2508204439503466306688,1
59,118,3337482778186906880000,1
60,120,4418813220138862387200,1
61,122,5822333541084291655712,1
62,124,7635964814583865774592,1
63,126,9969496838794513254528,1
64,128,12959518335901192159232,1
65,130,16775347897410378216200,1
66,132,21626147112879862067328,1
67,134,1575213375022984283858048,1
68,136,2082065194368309547630592,1
69,138,2740343341552818635653632,1
70,140,3591918652436058507315200,1
71,142,4689338367212081387532800,1
72,144,6098325997123842232320000,1
73,146,7900816090916863861875200,1
74,148,10198627897329383691380000,1
75,150,13117900168437278085045000,1
76,152,16814430463981821843640448,1
77,154,21480086698163699659205768,1
78,156,27350486765740836779226912,1
79,158,34714174395391281117634952,1
80,160,43923556466360074868787200,1
81,162,55407909516023631221896392,1
82,164,4741143933447918565290691712,1
83,166,6106712790274777416448317728,1
84,168,7840804553784656834436661248,1
85,170,10036360516186650450265191200,1
86,172,12808163321347539583372308992,1
87,174,16297603968342054064605364512,1
88,176,20678411488441045472495403008,1
89,178,26163524403969738043940107808,1
90,180,33013313626959724510015603200,1
91,182,41545401754343520937808203208,1
92,184,52146364433006885991496501248,1
93,186,65285646355196952356520224712,1
94,188,81532078349416562626668749952,1
95,190,101573443905234597831960168200,1
96,192,126239614379453537955348480000,1
97,194,156529853271216381968121264200,1
98,196,15414030894545795909893195398272,1
99,198,19454045534232330309385794288768,1
100,200,24493261785449902498002228480000,1
101,202,30764378939058318392745256176768,1
102,204,38551002959920526803084924551168,1
103,206,48198080212623598839535112847872,1
104,208,60124328736948048689033139003392,1
105,210,74837023109049854098001511043200,1
106,212,92949547778508052123553196214272,1
107,214,115202201609411059570513077215232,1
108,216,142486814435511595519929481308288,1
109,218,175875826186605551268030860159048,1
110,220,216656582157307015402650782835200,1
111,222,266371716072838046643654907380768,1
112,224,326866627785651567234804805142528,1
113,226,400345216986981815355828216243848,1
114,228,43924640698024012126553789997389952,1
115,230,54633334263783182631007566522243200,1
116,232,67819493061140179047680208846528512,1
