n,m,c,k
117,234,84026041864839340923146416503082272,1
118,236,103908385055426890920577757199680000,1
119,238,128256388385846827429664291252290688,1
120,240,158020403311706975876040302474035200,1
121,242,194342031618018284230371839381748768,1
122,244,238590440756940784978382423483662848,1
123,246,292405169962750317955599253706754048,1
124,248,357746516206008773403087496316223488,1
125,250,436954760070120959701694653203125000,1
126,252,532819687705224719857171111967534208,1
127,254,648662089546174050772703907999575328,1
128,256,788429173312026085762719596415025152,1
129,258,956806122251778710444766971433904392,1
130,260,114392767618397114705859974435394691200,1
131,262,140724605301306008330847140783882026112,1
132,264,172834674162318534672251797509791096832,1
133,266,211929884664484020924039092435131025408,1
134,268,259456697807106622249011874800882556928,1
135,270,317146224361102088845917377903140915200,1
136,272,387067361626543168358188309736897773568,1
137,274,471689320716370790257528235298807646208,1
138,276,573955111975886575508049237287722156032,1
139,278,697367802740139778373243981888083140608,1
140,280,846091644677262686257634655023140044800,1
141,282,1025070492514114345921867587936792748032,1
142,284,1240166307693137033945141062341791685152,1
143,286,1498320965899483215274834748208583361288,1
144,288,1807745073677392817660702285422770849792,1
145,290,2178138054692382624623917261087033809800,1
146,292,279274253115468049704662033644879481149568,1
147,294,340623369240407231559866970271031171155968,1
148,296,414869043593991563166769142664980928929792,1
149,298,504602205608886699165548790188954950447232,1
150,300,612910530999079504890039594527491872000000,1
151,302,743469190193121659477213835362881350191648,1
152,304,900647366988088455103630907160011599904768,1
153,306,1089633149570816551228088272098209401799712,1
154,308,1316579802913466498556264004265450226442752,1
155,310,1588776898558145877474169423135172317315200,1
156,312,1914850313346646601067092933870297548849152,1
157,314,2304995722212596571007376012247349962271872,1
158,316,2771250912455954549579673670317237786298368,1
159,318,3327813050071210612165729016618898255071688,1
160,320,3991407946362314320175575858844692329267200,1
161,322,4781719420651727592036210202232172598992968,1
162,324,5721888049729762301998483966533192556487808,1
163,326,787054134433544674048172440652537862001941632,1
164,328,952204305122794237953520663608272379258109952,1
165,330,1150625534692643880905239168800348711453196800,1
166,332,1388745738303435158627573325442526134974021632,1
167,334,1674182303800260394907373941009426421017249792,1
168,336,2015952635510540909146727492321621503228059648,1
169,338,2424720294753109893356707751143267210241095808,1
170,340,2913082476634959968886897451040110863546828800,1
171,342,3495905443792974598445723565801153685973925888,1
172,344,4190715547352063551035572303027720995808288768,1
173,346,5018154621300755537617191226568476751213629952,1
174,348,6002509858841089943447270055167891777514504192,1
175,350,7172329790777944139293982224646355554673920000,1
176,352,8561139712336968229008871838037044775674021888,1
177,354,10208271874898476175336446009890952786564734408,1
178,356,12159828005659956547850802072583070848340435072,1
179,358,1754722664829220427965181031159382143626069868672,1
180,360,2111273677111269019604996155850284081878763315200,1
181,362,2537575984736032253160100981027554512569812281472,1
182,364,3046753528460777362488806842333469126219334961152,1
183,366,3654302664483826632960934275889452747261477278208,1
184,368,4378503722172223868993325108878092840706179596288,1
185,370,5240900991639356104529793026531328269479606663200,1
186,372,6266862031839261028994591627307901620751475163648,1
187,374,7486228846490285365943345817943270074076592898048,1
188,376,8934075372273304832070372996676864518453985574912,1
189,378,10651587894627039882009640915617031729419483326592,1
190,380,12687087488716929683071920643210771923650263500800,1
191,382,15097216419335861980319440069225762772197988045312,1
192,384,17948313671685889840233453544282668296943383347200,1
193,386,21318008479482784975012472486052943557294845864072,1
194,388,25297064928886221582603185814057638684748660639872,1
195,390,29991515515477439992734737645690748862669619356800,1
196,392,4555202357181147302657742318827692402839508740147200,1
197,394,5450469184382880963009122831116492314729186482691200,1
198,396,6515551128977721792873522983379238208904979996365312,1
199,398,7781507635695608706938209134390996432424419828971648,1
200,400,9284870746249929998644630832788214080281898603520000,1
