n,m,c,k
1,2,1,1
2,4,36,1
3,6,108,1
4,8,480,1
5,10,1050,1
6,12,2016,1
7,14,8820,1
8,16,15840,1
9,18,69498,1
10,20,120120,1
11,22,198198,1
12,24,891072,1
13,26,1447992,1
14,28,2279088,1
15,30,10465200,1
16,32,16372224,1
17,34,25006014,1
18,36,116810100,1
19,38,178099350,1
20,40,266409000,1
21,42,1261890630,1
22,44,1888543800,1
23,46,2782090350,1
24,48,13328789760,1
25,50,19669221000,1
26,52,28638385776,1
27,54,138508728624,1
28,56,202158144384,1
29,58,291633751656,1
30,60,1421757885600,1
31,62,2056809741168,1
32,64,2945026226688,1
33,66,14455229390910,1
34,68,20760311081160,1
35,70,29542138173450,1
36,72,145853756467776,1
37,74,208201735698600,1
38,76,294737007877200,1
39,78,1462581373715280,1
40,80,2077038637228800,1
41,82,2927326329344340,1
42,84,14591354737404060,1
43,86,20629727162747010,1
44,88,28964181565436040,1
45,90,144944114724942750,1
46,92,204138575405203320,1
47,94,285658942237621470,1
48,96,397258610481653760,1
49,98,2013593087127421800,1
50,100,2809469738391030000,1
51,102,3897296421096036816,1
52,104,19807057389313434240,1
53,106,27564333193781972280,1
54,108,38152412765191992960,1
55,110,194366655635565724080,1
56,112,269864447494008608640,1
57,114,372784689586749136680,1
58,116,1903278679859955272160,1
59,118,2637093319508695458840,1
60,120,3636325174846807872000,1
61,122,4990856302477243804320,1
62,124,25726241915283373513920,1
63,126,35417084343308952298560,1
64,128,48543446416629050265600,1
65,130,250595854872189262224750,1
66,132,344487745585248576331680,1
67,134,471574937310568700795640,1
68,136,2437713615569558187115800,1
69,138,3346584349402152978332850,1
70,140,4575984901198911129793500,1
71,142,23684177199242005090799778,1
72,144,32474713906201297200477696,1
73,146,44358304238003739482365464,1
74,148,60365250954025730667313632,1
75,150,314808667425437609010510000,1
76,152,429594903316917170980386624,1
77,154,584147917356486748767305496,1
78,156,3048897223792467108425250432,1
79,158,4156903759263398202562040160,1
80,160,5648220458028139201686604800,1
81,162,29503000472381848804631265684,1
82,164,40191711358352227498215859272,1
83,166,54573219021676953756500713140,1
84,168,73862780397462028861316976240,1
85,170,388315274065474979317432707600,1
86,172,526926359437773937332610417344,1
87,174,712803978660752872229957710320,1
88,176,3749185064771959934855501703936,1
89,178,5084444931590279343472685807688,1
90,180,6874688198122950608331330008880,1
91,182,36175479928091665064915782426656,1
92,184,49031951058193557382999002772224,1
93,186,66266125727159274917784214639824,1
94,188,89304886284630420677730697865856,1
95,190,472578217318987193508992179301250,1
96,192,638412590088985248006829102497600,1
97,194,860083628314327348009200318642600,1
98,196,4552420924483857890282999048868000,1
99,198,6147474694880378277705145217073000,1
100,200,8279427198492091956505246083600000,1
101,202,11121754555734427125173497064099880,1
102,204,59168475614126787577998792830967600,1
103,206,79664744944510576739004910609015200,1
104,208,106990600996266066300060511486214400,1
105,210,569238269686679646015466179177671400,1
106,212,766212782054451333049389396734389440,1
107,214,1028822734323202853481322341449958480,1
108,216,5474174454493918370894854956454587360,1
109,218,7366481673331322252191841854982099040,1
110,220,9889351291106353835742772290797448000,1
111,222,13245192316005749608433666755757309280,1
112,224,70795827056478747359224702367271598080,1
113,226,95024660407360703865375184451351394840,1
114,228,127255203458835307079482782842674356000,1
115,230,680143615901100371632877354282253060000,1
116,232,912755303970716778505883348491601308800,1
117,234,1222207570373392903917880958168970896400,1
118,236,6532011531048098827571931543548974416000,1
119,238,8764548365022380809790749571109270972000,1
120,240,11734752983604571721886350672144041920000,1
121,242,15678118934136691344261909762595779340200,1
122,244,84133491456679978521683609468453329089600,1
123,246,112633966055214005107704085075813023074400,1
124,248,150476417602484332820207215781104687843200,1
125,250,807381923270353632782719517556005251500000,1
126,252,1080780819655853861330135131468889973783936,1
127,254,1443832224998803511271783572897687544342624,1
128,256,1924990276295757375310833526665749454618624,1
129,258,10367753110321113385381428878817314011672110,1
130,260,13849837848833504630552801152341138782493300,1
131,262,18465357775734705700332290861807724203972724,1
132,264,99429661860386417893012070062759891000028832,1
133,266,132818261007833670595721759108742909953263950,1
134,268,177081003313287878756826387405765887745931200,1
135,270,235651067842003445249185037149742475366954000,1
136,272,1273389135811373329672049603315192525276589120,1
137,274,1697760385440552893042427725873304913133687700,1
138,276,2259398950798344619447693523195876718005927400,1
139,278,12205610705366827183189990883352120149614755420,1
140,280,16273305303568628344235503605152456656181155200,1
141,282,21657610655285085222417505690836828156963542520,1
142,284,116965391865646103508560551561457510325219668880,1
143,286,155946121549098881507842782591659576848998491280,1
144,288,207551941125740875305269165778991982176260107520,1
145,290,275755014371824899433842858661806959343941259750,1
146,292,1494090855879130878596940072027206297170954563840,1
147,294,1988593154069563809189049858485826133281908047040,1
148,296,2642254923395127774975056667908974961302704606720,1
149,298,14311560761972799631700120612744506739757784099800,1
150,300,19048989708404856948639185807242924830405951090000,1
151,302,25312297524528373913351750100664398514643427808392,1
152,304,33579508597076192014870564319323570293887741956416,1
153,306,182435169435433767636899072960624851116500672802600,1
154,308,242436381340402137795235010536935275685937157911200,1
155,310,321650393779547700528211739186400255079187581113000,1
156,312,1746864879905320985997928099490481042344402450925888,1
157,314,2321544376475094153893203098032591135416776136910136,1
158,316,3080385832163350618574023308217531164547895668537584,1
159,318,4080857244083733843033171721253412541016183526272832,1
160,320,22226574797979426958101639606377233020870550072012800,1
161,322,29494491111803090359127765588603163396562244394388548,1
162,324,39078693057511875903471470289533082971009363893402272,1
163,326,212758852479426455989516987820081959423312477630943604,1
164,328,282354516106160444058503104766309981153449432092554160,1
165,330,374149128272737887650395993972013969672402504453399400,1
166,332,2036222795989842156168532016480035631087938525815019488,1
167,334,2702524906290335940541142453139945679190708945588354904,1
168,336,3581531088833978140571573920472314973749098305028706560,1
169,338,4739463032768574602189899176435675026734519295440659060,1
170,340,25862394376844479213121645592128459125496337974999899800,1
171,342,34277963813517333279564412206259117589723589266242081728,1
172,344,45366341766120201016351792085846169786337775883299769600,1
173,346,247454055812964778006276228737117038086628644511254699680,1
174,348,328009532634299130377392847955458155467029689767466218240,1
175,350,434171687816076682846942078934303923250799802398969768000,1
176,352,573886364825952134584300909559530540838934726566866814976,1
177,354,3138237262768052883687375605932958380106092277842039092264,1
178,356,4154465582560637916883724851749609494606277606410058709584,1
179,358,5492170981919419258508764649046337056276939269728939499736,1
180,360,30020332763507051860549994737280016538788531000494463638400,1
181,362,39746364646795123569815219884108051526679370812599105144952,1
182,364,52551922439503604058182475031287944810281848115702904015712,1
183,366,69389670080200734533653149089585824241253990793276715159256,1
184,368,380198813202040160031176298946778463353895963912440130977280,1
185,370,502761722207447364266179197301727073616313867685489858927600,1
186,372,663953961149224425715201383773366260724913197710701844961568,1
187,374,3636282228244579545617420325367649614321682701321528513420320,1
188,376,4809138965708350677048656101335556045730480756404759949917440,1
189,378,6351998481670522143975283295004746573190245392463880962596080,1
190,380,8378997465253352465611694769480800048395183866434256346617600,1
191,382,45994545296627907422902422846460915224102787338844274883285600,1
192,384,60759549544559965859612224495398822030096804567681349063219200,1
193,386,80162257260449720582359487591097469299473420870056154867587050,1
194,388,439826560800082153882593202399248689696066492953975410089376600,1
195,390,581102554357107160745348788109858675075377467375290340809178750,1
196,392,766795575737599182052823689472722390021884018488430457342310400,1
197,394,1010570939296618830387141049935299403488597614849300958579337600,1
198,396,5556832726082150619309974145204829522626188232133167378671443200,1
199,398,7333703837554598332902205445181560032156896723053006840436192000,1
200,400,9666910944681953308691576582371087439170475718880001946182400000,1
